Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1633942800.0 136.832 NA 145 634 0 NA NA 1578 1861 0 NA NA 2761 126000 1856 NA NA 1500 36182 1941 NA
1633942800.0 136.843 NA 146 602 0 NA NA 1578 1784 0 NA NA 2814 116386 1829 NA NA 1516 33227 1915 NA
1633942800.0 136.864 NA 135 595 0 NA NA 1578 1695 0 NA NA 2602 117615 2040 NA NA 1534 34399 2138 NA
1633942800.0 136.871 NA 145 595 0 NA NA 1578 1862 0 NA NA 2756 130242 1799 NA NA 1626 37713 1887 NA
1633942800.0 136.876 NA 144 603 0 NA NA 1578 1785 0 NA NA 2553 106802 1893 NA NA 1518 31767 1974 NA
1633942800.0 23434.99 NA NA NA 1076 0 NA NA NA 2538 0 NA NA NA 122064 2584 NA NA NA 36406 2689
1633942800.0 250200.0 NA NA 439 0 NA NA NA 1469 0 NA NA NA 11313 1974 NA NA NA 6677 2044 NA
1633942800.0 250202.172 NA NA 572 0 NA NA NA 1700 0 NA NA NA 13105 2388 NA NA NA 7195 2524 NA
1633942800.0 250202.2 NA NA 429 0 NA NA NA 1493 0 NA NA NA 11249 1906 NA NA NA 6640 1999 NA
1633942800.0 250202.4 NA NA 443 0 NA NA NA 1533 0 NA NA NA 10036 1903 NA NA NA 5951 1981 NA
1633942800.0 250202.5 NA NA NA 437 0 NA NA NA 1533 0 NA NA NA 12048 1987 NA NA NA 6849 2083
1633942800.0 250206.0 NA NA 454 0 NA NA NA 1533 0 NA NA NA 12150 1974 NA NA NA 7020 2059 NA
1633942800.0 250206.17 NA NA 580 0 NA NA NA 1790 0 NA NA NA 11570 2514 NA NA NA 6778 2623 NA
1633942800.0 250207.0 NA NA 441 0 NA NA NA 1533 0 NA NA NA 10577 2015 NA NA NA 6846 2116 NA
1633942800.0 250207.17 NA NA 566 0 NA NA NA 1789 0 NA NA NA 10445 2264 NA NA NA 6566 2367 NA
1633942800.0 250207.18 NA NA 602 0 NA NA NA 1789 0 NA NA NA 12257 2241 NA NA NA 6710 2318 NA
1633942800.0 511.0 58 0 NA NA NA 471 0 NA NA NA 37290 685 NA NA NA 37599 754 NA NA NA
