Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1634590800.0 1.0 77 117 184 244 235 671 1252 371 1054 2136 1623 1504
1634590800.0 103.0 64 112 273 193 232 737 637 264 1471 1220 984 2268
1634590800.0 107.0 91 116 276 244 232 682 1693 410 1618 1872 1212 2789
1634590800.0 108.0 83 128 277 243 239 749 1900 412 1657 1524 1050 2219
1634590800.0 109.0 92 124 276 245 242 703 2249 424 1679 3193 723 2544
1634590800.0 110.0 64 117 266 182 232 703 560 368 1537 879 768 2527
1634590800.0 111.0 86 120 275 235 232 752 1079 336 1532 1703 1092 2143
1634590800.0 112.0 88 119 274 247 230 678 1398 401 1548 1789 1514 2092
1634590800.0 114.0 86 121 273 247 240 740 1686 413 1621 1719 1510 2995
1634590800.0 117.0 82 124 275 244 239 743 2064 420 1673 1638 740 2332
1634590800.0 119.0 86 120 269 241 234 675 1268 388 1567 1348 622 2255
1634590800.0 120.0 63 115 273 190 234 676 502 364 1479 1216 1159 2210
1634590800.0 121.0 89 136 278 247 240 710 2630 460 1832 1734 819 2347
1634590800.0 122.0 66 105 268 194 232 740 607 270 1496 1372 671 2449
1634590800.0 123.1 339 NA NA 659 NA NA 1192 NA NA 4088 NA NA
1634590800.0 124.5 333 NA NA 662 NA NA 1056 NA NA 2468 NA NA
1634590800.0 125.0 87 122 273 247 238 754 1720 406 1615 1814 1148 3472
1634590800.0 126.0 66 116 271 199 236 721 1025 379 1527 1669 861 2182
1634590800.0 127.0 65 116 272 183 223 710 755 370 1503 1631 1469 2080
1634590800.0 128.0 64 113 258 184 237 659 486 370 1533 779 1269 4218
1634590800.0 129.0 63 111 260 182 229 724 486 366 1519 1121 663 2660
1634590800.0 131.0 63 117 270 183 233 687 804 370 1530 1995 1124 3272
1634590800.0 132.0 82 121 274 241 235 711 1923 420 1675 2225 1192 2330
1634590800.0 1325.6 NA 201 NA NA 454 NA NA 3557 NA NA 4156 NA
1634590800.0 1325.61 NA 189 NA NA 447 NA NA 3234 NA NA 3797 NA
1634590800.0 144.6 NA 270 NA NA 703 NA NA 2523 NA NA 2878 NA
1634590800.0 23461.97 944 NA NA 1557 NA NA 9162 NA NA 5791 NA NA
1634590800.0 4001.0 NA 173 347 NA 333 766 NA 741 2250 NA 1668 3384
1634590800.0 4002.0 NA 136 286 NA 271 721 NA 1725 2696 NA 1561 3645
1634590800.0 4003.0 NA 138 285 NA 269 758 NA 1771 2826 NA 1754 4391
1634590800.0 4006.0 64 174 328 195 327 784 733 742 2119 1565 1475 4119
1634590800.0 4007.0 61 0 0 177 0 0 524 143 1364 2063 439 2629
1634590800.0 4008.0 68 112 283 194 252 773 768 293 1517 1647 1088 2284
1634590800.0 511.0 38 0 NA 113 0 NA 7428 183 NA 9450 609 NA
