Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1634677200.0 109.0 90 124 279 NA 244 240 685 NA 2324 430 1700 NA 2123 779 3619 NA
1634677200.0 114.0 86 123 277 NA 244 236 758 NA 1689 420 1612 NA 1786 1317 2245 NA
1634677200.0 125.0 87 121 275 NA 247 240 682 NA 1776 412 1622 NA 1933 718 3442 NA
1634677200.0 131.0 65 116 274 NA 182 222 736 NA 821 371 1560 NA 1706 985 3818 NA
1634677200.0 1325.6 NA 202 NA NA NA 470 NA NA NA 3601 NA NA NA 4334 NA NA
1634677200.0 1325.61 NA 191 NA NA NA 447 NA NA NA 3262 NA NA NA 3369 NA NA
1634677200.0 144.6 NA 276 NA NA NA 694 NA NA NA 2641 NA NA NA 6119 NA NA
1634677200.0 25400.17 1115 0 131 NA 1522 0 331 NA 5509 374 615 NA 3681 582 1049 NA
1634677200.0 25406.18 1066 0 128 NA 1485 0 335 NA 3429 378 571 NA 3515 996 920 NA
1634677200.0 4.28 NA 64 282 0 NA 143 726 0 NA 265 3089 1842 NA 872 4231 2964
1634677200.0 4000.0 NA 137 298 NA NA 294 779 NA NA 2076 4134 NA NA 1404 3015 NA
1634677200.0 4001.0 NA 189 352 NA NA 338 800 NA NA 755 2345 NA NA 1401 2541 NA
1634677200.0 4003.0 NA 138 290 NA NA 271 745 NA NA 1753 2790 NA NA 1464 4074 NA
1634677200.0 4006.0 65 189 348 NA 182 321 769 NA 686 767 2215 NA 1164 1282 3725 NA
1634677200.0 511.0 38 0 NA NA 111 0 NA NA 7677 182 NA NA 9893 875 NA NA
