Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634504400.0 10002.0 NA 224 442 0 79 174 NA 421 893 0 194 345 NA 2364 1684 493 376 893 NA 1548 3094 1357 817 1664
1634504400.0 10004.0 NA 222 436 0 79 150 NA 426 910 0 196 294 NA 2321 1673 496 376 887 NA 1456 2791 1179 888 2287
1634504400.0 10005.0 NA 227 438 0 80 171 NA 455 882 0 195 349 NA 2391 1683 483 378 916 NA 1275 2866 804 1303 1423
1634504400.0 10006.0 NA 223 429 0 76 140 NA 422 879 0 185 290 NA 2370 1644 481 380 854 NA 1682 3022 811 779 1429
1634504400.0 10008.0 NA 228 435 0 108 171 NA 425 888 0 272 350 NA 2373 1688 495 532 900 NA 1913 2823 1185 1451 1502
1634504400.0 1001.2 NA 503 177 0 NA NA NA 917 480 0 NA NA NA 13814 1940 127 NA NA NA 6490 1554 548 NA NA
1634504400.0 10023.0 NA 216 431 0 77 147 NA 413 890 0 186 287 NA 2369 1669 497 364 843 NA 1537 3469 1549 810 1426
1634504400.0 1003.0 NA 280 NA NA NA NA NA 583 NA NA NA NA NA 1210 NA NA NA NA NA 2898 NA NA NA NA
1634504400.0 108.0 80 129 277 NA NA NA 261 236 590 NA NA NA 2056 433 1524 NA NA NA 1517 736 2059 NA NA NA
1634504400.0 10802.0 NA 216 435 0 82 176 NA 424 899 0 185 349 NA 2257 1701 484 371 920 NA 1584 3110 660 827 1712
1634504400.0 10803.0 NA 216 435 0 79 175 NA 429 882 0 195 352 NA 2205 1743 506 378 932 NA 1376 3490 2153 1133 1894
1634504400.0 10806.0 NA 217 421 0 76 144 NA 424 874 0 185 300 NA 2275 1650 479 370 881 NA 1280 2874 662 1211 1481
1634504400.0 10807.0 NA 215 426 0 106 155 NA 412 882 0 266 322 NA 2254 1700 492 528 872 NA 1129 3161 856 1461 1407
1634504400.0 123.1 336 NA NA NA NA NA 599 NA NA NA NA NA 1028 NA NA NA NA NA 1759 NA NA NA NA NA
1634504400.0 123.2 336 NA NA NA NA NA 587 NA NA NA NA NA 1172 NA NA NA NA NA 3070 NA NA NA NA NA
1634504400.0 124.5 332 NA NA NA NA NA 558 NA NA NA NA NA 909 NA NA NA NA NA 2769 NA NA NA NA NA
1634504400.0 1303.0 82 164 211 NA NA NA 221 370 530 NA NA NA 4749 1169 1395 NA NA NA 3184 861 1793 NA NA NA
1634504400.0 13034.99 NA 360 505 622 0 184 NA 569 843 1052 0 349 NA 3592 3631 4369 772 1059 NA 2993 3099 5497 1138 3713
1634504400.0 1317.0 NA 154 313 0 166 NA NA 382 627 0 347 NA NA 1208 1439 406 786 NA NA 1286 2626 901 1292 NA
1634504400.0 1318.0 NA 169 314 0 144 NA NA 377 637 0 283 NA NA 1206 1417 407 754 NA NA 962 2509 1124 1486 NA
1634504400.0 1320.0 NA 152 310 0 147 NA NA 380 655 0 294 NA NA 1224 1428 413 746 NA NA 1456 2923 648 1188 NA
1634504400.0 1321.0 NA 157 313 0 166 NA NA 379 623 0 341 NA NA 1203 1444 412 798 NA NA 1311 2514 829 1641 NA
1634504400.0 1322.0 NA 154 313 0 162 NA NA 380 652 0 340 NA NA 1231 1472 413 779 NA NA 1665 2890 788 1347 NA
1634504400.0 1325.6 NA 202 NA NA NA NA NA 511 NA NA NA NA NA 3672 NA NA NA NA NA 6039 NA NA NA NA
1634504400.0 1325.61 NA 192 NA NA NA NA NA 483 NA NA NA NA NA 3313 NA NA NA NA NA 3214 NA NA NA NA
1634504400.0 1325.9 NA 188 331 0 73 NA NA 415 669 0 177 NA NA 1365 1617 441 335 NA NA 1444 3665 849 645 NA
