Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1633986000.0 1.0 93 146 237 NA NA NA NA 3541 3525 3889 NA NA NA NA 3502 892 3124 NA NA NA NA 2366 564 3014 NA NA NA NA
1633986000.0 10.0 NA 177 338 0 NA NA NA NA 3600 4048 0 NA NA NA NA 5753 8732 1127 NA NA NA NA 1916 4832 1171 NA NA NA
1633986000.0 1000.0 NA 332 181 0 74 NA NA NA 3924 3611 0 3453 NA NA NA 7958 2761 804 746 NA NA NA 4310 1687 835 580 NA NA
1633986000.0 10003.0 NA 259 495 0 128 259 NA NA 3754 4223 0 3494 3720 NA NA 3880 3159 1021 584 1336 NA NA 1289 2845 1048 608 1325 NA
1633986000.0 10006.0 NA 258 494 0 125 219 NA NA 3729 4270 0 3478 3644 NA NA 4406 3629 1318 633 1459 NA NA 1408 3197 1346 681 1490 NA
1633986000.0 1001.2 NA 522 186 0 NA NA NA NA 4277 3617 0 NA NA NA NA 34320 4279 214 NA NA NA NA 11185 2726 246 NA NA NA
1633986000.0 1002.0 NA 320 85 NA NA NA NA NA 4028 3463 NA NA NA NA NA 8891 1196 NA NA NA NA NA 5414 701 NA NA NA NA
1633986000.0 10024.1 NA 255 511 0 NA NA NA NA 3737 4264 0 NA NA NA NA 5918 5389 1618 NA NA NA NA 1916 4370 1660 NA NA NA
1633986000.0 10024.2 NA 269 500 0 NA NA NA NA 3732 4242 0 NA NA NA NA 7866 4569 1715 NA NA NA NA 2488 3763 1751 NA NA NA
1633986000.0 10024.3 NA 265 500 0 NA NA NA NA 3772 4231 0 NA NA NA NA 7256 6556 1698 NA NA NA NA 2279 5331 1731 NA NA NA
1633986000.0 1003.0 NA 348 0 NA NA NA NA NA 4056 0 NA NA NA NA NA 6445 821 NA NA NA NA NA 2951 852 NA NA NA NA
1633986000.0 1004.0 NA 240 122 0 0 0 0 NA 3718 3499 0 0 0 0 NA 2647 494 88 133 447 530 NA 2121 468 108 150 474 546
1633986000.0 101.0 108 NA NA NA NA NA NA 3510 NA NA NA NA NA NA 2377 NA NA NA NA NA NA 2429 NA NA NA NA NA NA
1633986000.0 1010.0 NA 65 88 0 NA NA NA NA 3441 3452 0 NA NA NA NA 379 549 312 NA NA NA NA 508 575 352 NA NA NA
1633986000.0 102.0 99 NA NA NA NA NA NA 3510 NA NA NA NA NA NA 1985 NA NA NA NA NA NA 2082 NA NA NA NA NA NA
1633986000.0 1020.0 NA 60 42 0 62 NA NA NA 3495 3412 0 3495 NA NA NA 520 225 125 624 NA NA NA 588 262 154 677 NA NA
1633986000.0 10224.0 NA 403 727 0 255 NA NA NA 3954 4510 0 3700 NA NA NA 12837 13096 1753 1427 NA NA NA 4275 7447 1790 1353 NA NA
1633986000.0 10224.15 NA 407 731 0 269 NA NA NA 3995 4491 0 3811 NA NA NA 12875 12262 2066 2194 NA NA NA 4331 6381 2109 1902 NA NA
1633986000.0 1030.0 NA 198 82 0 0 NA NA NA 3731 3444 0 0 NA NA NA 17831 723 90 86 NA NA NA 5573 546 118 111 NA NA
1633986000.0 1040.0 NA 471 60 0 NA NA NA NA 4231 3417 0 NA NA NA NA 19414 186 160 NA NA NA NA 6154 206 196 NA NA NA
1633986000.0 1040.1 NA 83 61 0 NA NA NA NA 3494 3417 0 NA NA NA NA 702 287 238 NA NA NA NA 814 321 268 NA NA NA
1633986000.0 1041.0 NA 84 45 0 NA NA NA NA 3495 3430 0 NA NA NA NA 492 321 156 NA NA NA NA 610 362 186 NA NA NA
1633986000.0 10424.0 NA 209 465 0 NA NA NA NA 3671 4175 0 NA NA NA NA 1336 4732 1865 NA NA NA NA 693 4013 1908 NA NA NA
1633986000.0 105.0 93 147 42 NA NA NA NA 3536 3531 3420 NA NA NA NA 3548 1121 334 NA NA NA NA 2037 685 359 NA NA NA NA
1633986000.0 106.0 79 0 0 NA NA NA NA 3475 0 0 NA NA NA NA 1415 263 3647 NA NA NA NA 1311 267 3516 NA NA NA NA
1633986000.0 107.0 101 147 328 NA NA NA NA 3544 3543 4020 NA NA NA NA 4649 1111 4085 NA NA NA NA 2084 748 3561 NA NA NA NA
1633986000.0 10804.0 NA 249 491 0 93 256 NA NA 3712 4240 0 3482 3697 NA NA 4239 3326 1682 533 1557 NA NA 1375 2960 1721 561 1566 NA
1633986000.0 10807.0 NA 252 486 0 144 231 NA NA 3740 4286 0 3568 3647 NA NA 4034 2929 1170 488 1454 NA NA 1296 2611 1203 511 1451 NA
1633986000.0 10824.5 NA 262 500 0 NA NA NA NA 3771 4219 0 NA NA NA NA 6772 4927 1783 NA NA NA NA 2125 4039 1819 NA NA NA
1633986000.0 10824.501 NA 249 169 0 NA NA NA NA 3717 7197 0 NA NA NA NA 5696 1493 594 NA NA NA NA 1882 1529 674 NA NA NA
1633986000.0 10824.505 NA 260 169 0 NA NA NA NA 3715 7206 0 NA NA NA NA 5912 1299 693 NA NA NA NA 1862 1262 725 NA NA NA
1633986000.0 10824.511 NA 246 87 0 NA NA NA NA 3736 3502 0 NA NA NA NA 7466 678 244 NA NA NA NA 2290 656 274 NA NA NA
1633986000.0 10824.521 NA 260 81 0 NA NA NA NA 3715 3474 0 NA NA NA NA 6042 1062 482 NA NA NA NA 1919 1034 1011 NA NA NA
1633986000.0 10842.501 NA 248 168 0 NA NA NA NA 3732 7194 0 NA NA NA NA 5650 1532 615 NA NA NA NA 1803 1520 644 NA NA NA
1633986000.0 10842.505 NA 255 169 0 NA NA NA NA 3740 7201 0 NA NA NA NA 6131 1013 624 NA NA NA NA 1980 1034 661 NA NA NA
1633986000.0 109.0 97 155 311 NA NA NA NA 3536 3536 4009 NA NA NA NA 7343 973 4559 NA NA NA NA 3485 582 3859 NA NA NA NA
1633986000.0 110.0 87 158 325 NA NA NA NA 3479 3529 4004 NA NA NA NA 1479 704 2496 NA NA NA NA 1302 676 2321 NA NA NA NA
1633986000.0 11024.0 NA 456 798 0 257 NA NA NA 4037 4657 0 3718 NA NA NA 17727 11880 1709 1611 NA NA NA 5722 5819 1745 1512 NA NA
1633986000.0 11024.15 NA 458 795 0 283 NA NA NA 4063 4600 0 3790 NA NA NA 20419 16246 2275 2029 NA NA NA 6555 8201 2311 1807 NA NA
1633986000.0 11024.2 NA 466 812 0 252 NA NA NA 4060 4641 0 3713 NA NA NA 20614 12278 1984 1683 NA NA NA 6565 5783 2034 1597 NA NA
1633986000.0 11024.6 NA 455 788 0 256 NA NA NA 4092 4632 0 3718 NA NA NA 14606 15044 2029 1656 NA NA NA 4822 7738 2070 1610 NA NA
1633986000.0 11025.0 NA 483 794 0 258 NA NA NA 4044 4635 0 3724 NA NA NA 18371 8876 1408 1298 NA NA NA 5971 4286 1440 1243 NA NA
1633986000.0 113.0 102 147 337 NA NA NA NA 3542 3530 4002 NA NA NA NA 4094 981 3388 NA NA NA NA 1965 577 3645 NA NA NA NA
1633986000.0 115.0 101 167 326 NA NA NA NA 3547 3541 3996 NA NA NA NA 5448 937 4281 NA NA NA NA 2539 550 3804 NA NA NA NA
1633986000.0 11603.0 NA 333 562 0 113 NA NA NA 3807 4299 0 3504 NA NA NA 4149 4954 2476 641 NA NA NA 3059 4241 2504 618 NA NA
1633986000.0 11605.0 NA 324 561 0 105 NA NA NA 3791 4259 0 3493 NA NA NA 4118 5622 1850 799 NA NA NA 3112 4665 1882 759 NA NA
1633986000.0 11607.0 NA 329 566 0 131 NA NA NA 3793 4276 0 3549 NA NA NA 4319 6247 1790 816 NA NA NA 3269 5265 1819 797 NA NA
1633986000.0 11608.0 NA 333 570 0 133 NA NA NA 3832 4275 0 3539 NA NA NA 3114 6086 1970 840 NA NA NA 2430 5094 2022 794 NA NA
1633986000.0 11630.0 NA 346 581 0 109 NA NA NA 3825 4298 0 3506 NA NA NA 4346 7259 1796 861 NA NA NA 2927 5091 1828 799 NA NA
1633986000.0 11634.1 NA 331 259 0 NA NA NA NA 3838 3717 0 NA NA NA NA 2849 1969 962 NA NA NA NA 2014 1697 992 NA NA NA
1633986000.0 11634.5 NA 343 136 0 NA NA NA NA 3819 3611 0 NA NA NA NA 4141 1127 494 NA NA NA NA 2934 1098 522 NA NA NA
1633986000.0 11634.501 NA 341 191 0 NA NA NA NA 3809 7241 0 NA NA NA NA 4518 1890 1005 NA NA NA NA 3254 1815 1043 NA NA NA
1633986000.0 11634.505 NA 340 202 0 NA NA NA NA 3827 7242 0 NA NA NA NA 3225 2033 778 NA NA NA NA 2400 1963 818 NA NA NA
1633986000.0 11634.511 NA 351 125 0 NA NA NA NA 3833 3529 0 NA NA NA NA 4702 1730 462 NA NA NA NA 3562 1665 519 NA NA NA
1633986000.0 11634.521 NA 330 126 0 NA NA NA NA 3828 3512 0 NA NA NA NA 4181 1304 411 NA NA NA NA 3253 1247 452 NA NA NA
1633986000.0 11634.91 NA 349 580 0 133 NA NA NA 3822 4240 0 3548 NA NA NA 3829 5067 2796 853 NA NA NA 2945 3771 2836 795 NA NA
1633986000.0 11634.911 120 359 586 0 134 NA NA 3509 3806 4296 0 3553 NA NA 10531 5133 7073 4109 2123 NA NA 4639 2757 5198 4141 1760 NA NA
1633986000.0 11634.912 108 339 575 0 135 NA NA 3514 3805 4308 0 3550 NA NA 12182 5192 7985 2413 1104 NA NA 5458 3671 6179 2451 1073 NA NA
1633986000.0 11643.0 NA 363 582 0 121 NA NA NA 3803 4252 0 3508 NA NA NA 4323 5646 2735 876 NA NA NA 3035 4511 2781 819 NA NA
1633986000.0 11646.0 NA 340 577 0 141 NA NA NA 3807 4292 0 3506 NA NA NA 4247 6432 2358 734 NA NA NA 3164 5200 2387 699 NA NA
1633986000.0 11650.0 NA 339 565 0 135 NA NA NA 3819 4250 0 3543 NA NA NA 3897 6775 1897 830 NA NA NA 2848 5708 1928 844 NA NA
