Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634590800.0 1.0 93 145 229 NA NA NA 3536 3525 3849 NA NA NA 3548 926 2236 NA NA NA 1990 601 2192 NA NA NA
1634590800.0 1003.0 NA 352 0 NA NA NA NA 4059 0 NA NA NA NA 8382 945 NA NA NA NA 4340 1032 NA NA NA
1634590800.0 101.0 120 NA NA NA NA NA 3510 NA NA NA NA NA 2010 NA NA NA NA NA 2213 NA NA NA NA NA
1634590800.0 1010.0 NA 51 60 0 NA NA NA 3441 3449 0 NA NA NA 285 588 417 NA NA NA 350 646 454 NA NA
1634590800.0 102.0 101 NA NA NA NA NA 3510 NA NA NA NA NA 1833 NA NA NA NA NA 1899 NA NA NA NA NA
1634590800.0 1020.0 NA 63 33 0 65 NA NA 3493 3412 0 3495 NA NA 611 262 122 548 NA NA 670 313 174 658 NA
1634590800.0 1040.1 NA 84 47 0 NA NA NA 3496 3417 0 NA NA NA 829 332 241 NA NA NA 1093 408 268 NA NA
1634590800.0 1041.0 NA 105 45 0 NA NA NA 3491 3429 0 NA NA NA 551 417 194 NA NA NA 667 496 224 NA NA
1634590800.0 105.0 92 142 68 NA NA NA 3536 3530 3418 NA NA NA 3319 742 260 NA NA NA 2163 839 300 NA NA NA
1634590800.0 106.0 77 0 0 NA NA NA 3472 0 0 NA NA NA 1391 214 3959 NA NA NA 1270 230 3882 NA NA NA
1634590800.0 10803.0 NA 254 493 0 95 251 NA 3698 4246 0 3492 3699 NA 7869 4094 1850 725 1383 NA 2464 3615 1920 895 1353
1634590800.0 10808.0 NA 258 489 0 128 247 NA 3708 4251 0 3564 3704 NA 8052 4216 1775 732 1492 NA 2527 3822 1834 757 1477
