Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1634590800.0 101.0 129 NA NA NA NA 3519 NA NA NA NA 1963 NA NA NA NA 2004 NA NA NA NA
1634590800.0 102.0 104 NA NA NA NA 3519 NA NA NA NA 1751 NA NA NA NA 1797 NA NA NA NA
1634590800.0 11634.505 NA 334 195 0 NA NA 3823 7222 0 NA NA 3177 2147 653 NA NA 1922 2153 691 NA
1634590800.0 123.1 404 NA NA NA NA 3863 NA NA NA NA 2173 NA NA NA NA 1506 NA NA NA NA
1634590800.0 123.2 399 NA NA NA NA 3883 NA NA NA NA 3204 NA NA NA NA 1912 NA NA NA NA
1634590800.0 123.3 331 NA NA NA NA 3763 NA NA NA NA 1782 NA NA NA NA 1332 NA NA NA NA
1634590800.0 124.1 382 NA NA NA NA 3844 NA NA NA NA 1849 NA NA NA NA 1354 NA NA NA NA
1634590800.0 124.2 398 NA NA NA NA 3861 NA NA NA NA 2446 NA NA NA NA 1685 NA NA NA NA
1634590800.0 124.4 393 NA NA NA NA 3839 NA NA NA NA 2317 NA NA NA NA 1738 NA NA NA NA
1634590800.0 124.5 398 NA NA NA NA 3852 NA NA NA NA 2251 NA NA NA NA 1608 NA NA NA NA
1634590800.0 124.6 338 NA NA NA NA 3764 NA NA NA NA 1856 NA NA NA NA 1374 NA NA NA NA
1634590800.0 135.2 533 0 152 NA NA 4073 0 3669 NA NA 2234 515 1428 NA NA 1599 552 1398 NA NA
1634590800.0 135.3 533 0 150 NA NA 4000 0 3672 NA NA 2394 530 1234 NA NA 1756 561 1443 NA NA
1634590800.0 158.0 90 250 486 88 0 3510 3779 4132 3467 0 4849 1639 4785 584 1492 4707 1408 4057 662 1577
1634590800.0 2017.2 978 0 144 NA NA 4604 0 3671 NA NA 2707 664 1460 NA NA 1990 708 1659 NA NA
1634590800.0 2018.12 997 0 153 NA NA 4752 0 3678 NA NA 3135 776 1363 NA NA 2053 812 1220 NA NA
1634590800.0 2018.5 992 0 152 NA NA 4686 0 3666 NA NA 2695 612 1353 NA NA 1755 646 1218 NA NA
1634590800.0 250207.18 NA NA 605 0 NA NA NA 4340 0 NA NA NA 7436 1052 NA NA NA 4239 1084 NA
1634590800.0 250407.0 NA 0 147 NA NA NA 0 3661 NA NA NA 447 1287 NA NA NA 491 1138 NA NA
1634590800.0 4.28 NA 80 315 0 NA NA 3483 3882 0 NA NA 544 8201 5745 NA NA 703 6291 5826 NA
1634590800.0 4007.0 79 NA 0 NA NA 3497 NA 0 NA NA 1390 NA 3387 NA NA 1223 NA 3323 NA NA
1634590800.0 510.0 55 0 NA NA NA 3404 0 NA NA NA 9526 398 NA NA NA 4702 450 NA NA NA
1634590800.0 7.1 75 117 153 68 0 3493 3508 3580 3453 0 3041 428 885 469 434 2758 425 767 534 467
