Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1634421600.0 1.0 87 82 193 NA NA NA NA NA 185 366 316 NA NA NA NA NA 1502 466 917 NA NA NA NA NA 1635 1052 1368 NA NA NA NA NA
1634421600.0 10.0 NA 113 460 0 NA NA NA NA NA 365 567 0 NA NA NA NA NA 2156 3137 485 NA NA NA NA NA 1667 4177 580 NA NA NA NA
1634421600.0 1000.0 NA 389 152 0 45 NA NA NA NA 504 254 0 89 NA NA NA NA 2560 1204 585 257 NA NA NA NA 2544 1830 754 327 NA NA NA
1634421600.0 10001.0 NA 190 666 83 0 NA NA NA NA 479 792 135 0 NA NA NA NA 1302 2123 368 1686 NA NA NA NA 1773 3300 1028 2750 NA NA NA
1634421600.0 10002.0 NA 193 667 83 0 NA NA NA NA 473 818 134 0 NA NA NA NA 1324 2122 372 1685 NA NA NA NA 2423 5182 770 2017 NA NA NA
1634421600.0 10003.0 NA 195 658 85 0 NA NA NA NA 475 830 133 0 NA NA NA NA 1341 2170 375 1679 NA NA NA NA 1877 4133 815 1803 NA NA NA
1634421600.0 10004.0 NA 191 658 83 0 NA NA NA NA 488 818 135 0 NA NA NA NA 1288 2126 367 1680 NA NA NA NA 1890 3324 974 1879 NA NA NA
1634421600.0 10005.0 NA 191 660 82 0 NA NA NA NA 475 818 133 0 NA NA NA NA 1279 2109 375 1686 NA NA NA NA 2377 4112 1039 1906 NA NA NA
1634421600.0 10006.0 NA 188 654 92 0 NA NA NA NA 480 824 134 0 NA NA NA NA 1302 2104 368 1658 NA NA NA NA 2327 3933 1127 1975 NA NA NA
1634421600.0 10007.0 NA 191 657 94 0 NA NA NA NA 480 827 144 0 NA NA NA NA 1322 2169 390 1683 NA NA NA NA 1821 4157 795 1978 NA NA NA
1634421600.0 10008.0 NA 191 667 93 0 NA NA NA NA 480 831 144 0 NA NA NA NA 1355 2167 398 1732 NA NA NA NA 2630 4566 839 2330 NA NA NA
1634421600.0 10009.0 NA 192 660 94 0 NA NA NA NA 477 823 145 0 NA NA NA NA 1345 2180 380 1675 NA NA NA NA 2500 3594 716 1829 NA NA NA
1634421600.0 1001.0 NA 361 177 0 0 0 0 0 NA 470 230 0 0 0 0 0 NA 2220 463 72 81 280 119 246 NA 3397 830 445 150 423 191 306
1634421600.0 1002.0 NA 418 64 NA NA NA NA NA NA 510 122 NA NA NA NA NA NA 2735 418 NA NA NA NA NA NA 3099 318 NA NA NA NA NA
1634421600.0 10023.0 NA 188 656 83 0 NA NA NA NA 481 795 133 0 NA NA NA NA 1310 2112 371 1702 NA NA NA NA 1751 3414 1307 1931 NA NA NA
1634421600.0 10024.0 NA 212 676 95 0 NA NA NA NA 489 844 146 0 NA NA NA NA 1507 2412 396 1729 NA NA NA NA 2561 4546 637 2012 NA NA NA
1634421600.0 10024.1 NA 210 266 0 NA NA NA NA NA 483 379 0 NA NA NA NA NA 1501 805 308 NA NA NA NA NA 2020 1022 404 NA NA NA NA
1634421600.0 10024.2 NA 212 671 0 NA NA NA NA NA 488 835 0 NA NA NA NA NA 1560 2391 1691 NA NA NA NA NA 1980 4853 2249 NA NA NA NA
1634421600.0 10024.3 NA 215 238 0 NA NA NA NA NA 484 341 0 NA NA NA NA NA 1472 803 272 NA NA NA NA NA 1887 1683 353 NA NA NA NA
1634421600.0 10024.4 NA 210 685 0 NA NA NA NA NA 481 836 0 NA NA NA NA NA 1517 2383 1729 NA NA NA NA NA 2391 4068 2139 NA NA NA NA
1634421600.0 10024.5 NA 214 264 0 NA NA NA NA NA 488 379 0 NA NA NA NA NA 1506 824 302 NA NA NA NA NA 2288 2285 406 NA NA NA NA
1634421600.0 10024.6 NA 215 672 0 NA NA NA NA NA 481 814 0 NA NA NA NA NA 1516 2354 1663 NA NA NA NA NA 2423 3338 2016 NA NA NA NA
1634421600.0 10025.0 NA 198 665 84 0 NA NA NA NA 476 818 134 0 NA NA NA NA 1404 2261 375 1723 NA NA NA NA 2917 3829 789 1977 NA NA NA
1634421600.0 10026.0 NA 218 687 94 0 NA NA NA NA 482 845 144 0 NA NA NA NA 1518 2526 386 1726 NA NA NA NA 2151 3910 551 1937 NA NA NA
1634421600.0 1003.0 NA 313 0 NA NA NA NA NA NA 401 0 NA NA NA NA NA NA 2834 441 NA NA NA NA NA NA 3342 570 NA NA NA NA NA
1634421600.0 1004.0 NA 330 169 0 0 0 0 NA NA 436 212 0 0 0 0 NA NA 1326 279 72 83 258 244 NA NA 2166 420 310 207 344 302 NA
1634421600.0 10042.0 NA 203 666 95 0 NA NA NA NA 473 829 145 0 NA NA NA NA 1402 2306 397 1730 NA NA NA NA 2476 5005 1708 2725 NA NA NA
1634421600.0 10059.0 NA 220 685 94 0 NA NA NA NA 480 853 144 0 NA NA NA NA 1622 2845 400 1734 NA NA NA NA 2657 4853 1340 2244 NA NA NA
1634421600.0 10071.0 NA 203 671 91 0 NA NA NA NA 488 806 136 0 NA NA NA NA 1365 2301 369 1711 NA NA NA NA 2426 3600 753 2109 NA NA NA
1634421600.0 101.0 81 NA NA NA NA NA NA NA 148 NA NA NA NA NA NA NA 855 NA NA NA NA NA NA NA 1075 NA NA NA NA NA NA NA
1634421600.0 1010.0 NA 26 69 0 NA NA NA NA NA 68 120 0 NA NA NA NA NA 115 171 91 NA NA NA NA NA 737 240 144 NA NA NA NA
1634421600.0 102.0 82 NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA 686 NA NA NA NA NA NA NA 834 NA NA NA NA NA NA NA
1634421600.0 1020.0 NA 35 NA NA NA NA NA NA NA 105 NA NA NA NA NA NA NA 214 NA NA NA NA NA NA NA 313 NA NA NA NA NA NA
1634421600.0 10224.0 NA 379 948 0 NA NA NA NA NA 561 1152 0 NA NA NA NA NA 3845 4665 1758 NA NA NA NA NA 4537 5991 2049 NA NA NA NA
1634421600.0 10225.0 NA 373 914 0 NA NA NA NA NA 565 1145 0 NA NA NA NA NA 3850 4374 1742 NA NA NA NA NA 5654 5161 2496 NA NA NA NA
1634421600.0 103.0 43 0 0 NA NA NA NA NA 90 0 0 NA NA NA NA NA 693 207 1269 NA NA NA NA NA 957 455 2123 NA NA NA NA NA
1634421600.0 1030.0 NA 175 38 0 NA NA NA NA NA 306 84 0 NA NA NA NA NA 8314 259 62 NA NA NA NA NA 3321 293 97 NA NA NA NA
1634421600.0 10424.0 NA 212 675 0 NA NA NA NA NA 480 831 0 NA NA NA NA NA 1447 2379 1749 NA NA NA NA NA 1782 3652 2305 NA NA NA NA
1634421600.0 105.0 86 83 23 NA NA NA NA NA 184 359 65 NA NA NA NA NA 1480 452 109 NA NA NA NA NA 986 455 180 NA NA NA NA NA
1634421600.0 106.0 43 0 0 NA NA NA NA NA 90 0 0 NA NA NA NA NA 781 219 1251 NA NA NA NA NA 1064 431 2077 NA NA NA NA NA
1634421600.0 107.0 88 86 435 NA NA NA NA NA 183 367 553 NA NA NA NA NA 3577 511 1535 NA NA NA NA NA 2101 1475 2322 NA NA NA NA NA
1634421600.0 108.0 94 87 439 NA NA NA NA NA 193 359 541 NA NA NA NA NA 4132 516 1649 NA NA NA NA NA 1882 796 2846 NA NA NA NA NA
1634421600.0 10823.0 63 191 666 85 0 NA NA NA 123 471 827 133 0 NA NA NA 1872 1336 2135 360 1696 NA NA NA 1952 1644 5493 594 2193 NA NA NA
1634421600.0 10824.0 73 217 688 95 0 NA NA NA 134 471 816 145 0 NA NA NA 4483 1543 2452 405 1720 NA NA NA 2736 2677 4554 1473 2423 NA NA NA
