Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1634590800.0 101.0 91 NA NA NA NA 370 NA NA NA NA 1509 NA NA NA NA 1553 NA NA NA NA
1634590800.0 1010.0 NA 44 51 0 NA NA 1077 565 0 NA NA 175 413 289 NA NA 234 331 315 NA
1634590800.0 102.0 91 NA NA NA NA 434 NA NA NA NA 1290 NA NA NA NA 1326 NA NA NA NA
1634590800.0 1020.0 NA 52 38 0 55 NA 1077 563 0 1076 NA 544 143 96 748 NA 366 163 116 567
1634590800.0 1040.1 NA 73 34 0 NA NA 1096 563 0 NA NA 884 203 272 NA NA 709 225 342 NA
1634590800.0 123.1 364 NA NA NA NA 1313 NA NA NA NA 2379 NA NA NA NA 1403 NA NA NA NA
1634590800.0 123.3 297 NA NA NA NA 1082 NA NA NA NA 3174 NA NA NA NA 1922 NA NA NA NA
1634590800.0 124.1 370 NA NA NA NA 1082 NA NA NA NA 3176 NA NA NA NA 1949 NA NA NA NA
1634590800.0 124.2 368 NA NA NA NA 1147 NA NA NA NA 3797 NA NA NA NA 2245 NA NA NA NA
1634590800.0 136.7801 NA 122 0 NA NA NA 1150 0 NA NA NA 896 509 NA NA NA 772 613 NA NA
1634590800.0 136.7802 NA 81 0 NA NA NA 1147 0 NA NA NA 522 359 NA NA NA 625 477 NA NA
1634590800.0 136.7803 NA 114 0 NA NA NA 1168 0 NA NA NA 1175 460 NA NA NA 1056 565 NA NA
1634590800.0 1361.17 0 NA NA NA NA 0 NA NA NA NA 805 NA NA NA NA 792 NA NA NA NA
1634590800.0 1361.18 0 NA NA NA NA 0 NA NA NA NA 786 NA NA NA NA 779 NA NA NA NA
1634590800.0 1361.181 0 NA NA NA NA 0 NA NA NA NA 1419 NA NA NA NA 781 NA NA NA NA
1634590800.0 1362.17 0 NA NA NA NA 0 NA NA NA NA 772 NA NA NA NA 785 NA NA NA NA
1634590800.0 1362.18 0 NA NA NA NA 0 NA NA NA NA 1476 NA NA NA NA 787 NA NA NA NA
1634590800.0 1363.17 0 NA NA NA NA 0 NA NA NA NA 795 NA NA NA NA 781 NA NA NA NA
1634590800.0 1363.18 0 NA NA NA NA 0 NA NA NA NA 1439 NA NA NA NA 791 NA NA NA NA
1634590800.0 503.0 41 0 NA NA NA 468 0 NA NA NA 1928 390 NA NA NA 1095 479 NA NA NA
1634590800.0 504.0 44 0 NA NA NA 468 0 NA NA NA 308 377 NA NA NA 293 459 NA NA NA
1634590800.0 505.0 59 0 NA NA NA 468 0 NA NA NA 272 301 NA NA NA 281 356 NA NA NA
1634590800.0 506.0 44 0 NA NA NA 468 0 NA NA NA 308 353 NA NA NA 295 472 NA NA NA
1634590800.0 507.0 43 0 NA NA NA 468 0 NA NA NA 760 287 NA NA NA 778 348 NA NA NA
1634590800.0 508.0 53 0 NA NA NA 468 0 NA NA NA 290 295 NA NA NA 289 349 NA NA NA
1634590800.0 509.0 45 0 NA NA NA 468 0 NA NA NA 295 282 NA NA NA 298 349 NA NA NA
1634590800.0 510.0 43 0 NA NA NA 468 0 NA NA NA 1068 385 NA NA NA 1089 484 NA NA NA
1634590800.0 531.0 58 0 NA NA NA 581 0 NA NA NA 284 325 NA NA NA 287 399 NA NA NA
1634590800.0 541.0 61 0 NA NA NA 572 0 NA NA NA 365 321 NA NA NA 329 389 NA NA NA
1634590800.0 545.0 51 0 NA NA NA 571 0 NA NA NA 434 303 NA NA NA 391 380 NA NA NA
1634590800.0 546.0 44 61 NA NA NA 468 503 NA NA NA 290 600 NA NA NA 309 745 NA NA NA
1634590800.0 560.0 52 0 NA NA NA 468 0 NA NA NA 274 320 NA NA NA 288 387 NA NA NA
1634590800.0 561.0 45 0 NA NA NA 468 0 NA NA NA 354 390 NA NA NA 340 499 NA NA NA
