Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1634245200.0 101.0 90 NA NA NA NA NA NA 495 NA NA NA NA NA NA 1324 NA NA NA NA NA NA 1565 NA NA NA NA NA NA
1634245200.0 1010.0 NA 47 65 0 NA NA NA NA 1098 586 0 NA NA NA NA 275 309 182 NA NA NA NA 367 488 451 NA NA NA
1634245200.0 102.0 103 NA NA NA NA NA NA 495 NA NA NA NA NA NA 1121 NA NA NA NA NA NA 1407 NA NA NA NA NA NA
1634245200.0 1020.0 NA 43 39 0 46 NA NA NA 1098 584 0 1098 NA NA NA 468 254 86 355 NA NA NA 571 299 154 566 NA NA
1634245200.0 1040.1 NA 74 30 0 NA NA NA NA 1100 583 0 NA NA NA NA 714 228 149 NA NA NA NA 878 849 476 NA NA NA
1634245200.0 1041.0 NA 86 49 0 NA NA NA NA 1100 584 0 NA NA NA NA 480 257 104 NA NA NA NA 563 592 428 NA NA NA
1634245200.0 11834.0 NA NA NA 0 251 NA NA NA NA NA 0 1210 NA NA NA NA NA 1280 1358 NA NA NA NA NA 1344 1726 NA NA
1634245200.0 11834.13 NA NA NA 0 251 NA NA NA NA NA 0 1210 NA NA NA NA NA 1263 1139 NA NA NA NA NA 1323 1490 NA NA
1634245200.0 11834.99 NA NA NA 777 0 253 NA NA NA NA 1858 0 1210 NA NA NA NA 13030 1535 1403 NA NA NA NA 5539 1591 2118 NA
1634245200.0 11846.0 NA NA 1047 0 251 NA NA NA NA 2665 0 1210 NA NA NA NA 13026 1272 1292 NA NA NA NA 5906 1318 1713 NA NA
1634245200.0 123.1 376 NA NA NA NA NA NA 895 NA NA NA NA NA NA 1340 NA NA NA NA NA NA 1327 NA NA NA NA NA NA
1634245200.0 123.2 381 NA NA NA NA NA NA 959 NA NA NA NA NA NA 1585 NA NA NA NA NA NA 1161 NA NA NA NA NA NA
1634245200.0 123.3 294 NA NA NA NA NA NA 830 NA NA NA NA NA NA 1092 NA NA NA NA NA NA 1409 NA NA NA NA NA NA
1634245200.0 124.1 373 NA NA NA NA NA NA 830 NA NA NA NA NA NA 1102 NA NA NA NA NA NA 1529 NA NA NA NA NA NA
1634245200.0 124.2 380 NA NA NA NA NA NA 894 NA NA NA NA NA NA 1275 NA NA NA NA NA NA 1897 NA NA NA NA NA NA
1634245200.0 124.4 374 NA NA NA NA NA NA 894 NA NA NA NA NA NA 1114 NA NA NA NA NA NA 1128 NA NA NA NA NA NA
1634245200.0 124.5 379 NA NA NA NA NA NA 894 NA NA NA NA NA NA 1149 NA NA NA NA NA NA 1254 NA NA NA NA NA NA
1634245200.0 124.6 307 NA NA NA NA NA NA 830 NA NA NA NA NA NA 1118 NA NA NA NA NA NA 1238 NA NA NA NA NA NA
1634245200.0 134.813 NA 196 72 0 NA NA NA NA 1552 588 0 NA NA NA NA 2013 310 338 NA NA NA NA 1122 419 624 NA NA NA
1634245200.0 135.13 566 0 NA NA NA NA NA 1501 0 NA NA NA NA NA 1879 485 NA NA NA NA NA 1445 766 NA NA NA NA NA
1634245200.0 135.8 304 NA NA NA NA NA NA 829 NA NA NA NA NA NA 1130 NA NA NA NA NA NA 830 NA NA NA NA NA NA
