Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634331600.0 1.0 85 126 214 NA NA NA NA NA NA 1107 654 1084 NA NA NA NA NA NA 6343 1478 3447 NA NA NA NA NA NA 3746 1208 3349 NA NA NA NA NA NA
1634331600.0 10.0 NA 149 317 0 NA NA NA NA NA NA 1167 1239 0 NA NA NA NA NA NA 9016 14334 2082 NA NA NA NA NA NA 3536 8010 2206 NA NA NA NA NA
1634331600.0 1000.0 NA 315 163 0 72 NA NA NA NA NA 1335 1169 0 584 NA NA NA NA NA 12162 5942 1490 1870 NA NA NA NA NA 5788 3570 1593 1630 NA NA NA NA
1634331600.0 10002.0 NA 235 474 0 88 239 NA NA NA NA 1543 1472 0 589 1210 NA NA NA NA 9339 6209 2167 1425 2868 NA NA NA NA 3229 5490 2264 1551 2846 NA NA NA
1634331600.0 10003.0 NA 227 477 0 105 247 NA NA NA NA 1543 1536 0 589 1210 NA NA NA NA 7758 6185 2146 1361 2893 NA NA NA NA 2853 5328 2253 1446 2875 NA NA NA
1634331600.0 10004.0 NA 236 473 0 96 212 NA NA NA NA 1607 1473 0 589 1030 NA NA NA NA 7603 6039 2161 1274 3289 NA NA NA NA 2895 5387 2262 1342 3472 NA NA NA
1634331600.0 10005.0 NA 239 474 0 96 237 NA NA NA NA 1543 1472 0 589 1210 NA NA NA NA 7594 5997 2130 1330 3072 NA NA NA NA 2890 5309 2244 1405 3067 NA NA NA
1634331600.0 10006.0 NA 238 464 0 85 207 NA NA NA NA 1607 1472 0 589 1029 NA NA NA NA 7572 5791 2172 1309 2799 NA NA NA NA 2933 5232 2295 1378 2895 NA NA NA
1634331600.0 10007.0 NA 237 467 0 117 226 NA NA NA NA 1773 1472 0 653 1209 NA NA NA NA 8569 6095 2162 1586 2927 NA NA NA NA 3055 5366 2272 1660 3045 NA NA NA
1634331600.0 10008.0 NA 241 468 0 118 235 NA NA NA NA 1645 1472 0 653 1209 NA NA NA NA 9495 6121 2185 1606 2923 NA NA NA NA 3271 5368 2295 1719 2962 NA NA NA
1634331600.0 10009.0 NA 234 474 0 121 243 NA NA NA NA 1773 1496 0 653 1210 NA NA NA NA 7774 6218 2176 1537 2893 NA NA NA NA 2860 5332 2269 1602 2884 NA NA NA
1634331600.0 1001.0 NA 279 150 0 0 0 0 0 0 NA 1194 651 0 0 0 0 0 0 NA 10505 2447 417 335 438 973 494 948 NA 5571 2149 497 400 489 1021 544 998
1634331600.0 1001.2 NA 515 161 0 NA NA NA NA NA NA 2103 792 0 NA NA NA NA NA NA 69402 9467 456 NA NA NA NA NA NA 21341 6326 519 NA NA NA NA NA
1634331600.0 1002.0 NA 296 78 NA NA NA NA NA NA NA 1748 621 NA NA NA NA NA NA NA 11416 1913 NA NA NA NA NA NA NA 6504 1232 NA NA NA NA NA NA
1634331600.0 10023.0 NA 236 466 0 93 203 NA NA NA NA 1606 1472 0 589 1029 NA NA NA NA 7844 5995 2204 1365 2797 NA NA NA NA 2935 5338 2319 1466 2863 NA NA NA
1634331600.0 10024.0 NA 247 485 0 125 241 NA NA NA NA 1772 1560 0 653 1210 NA NA NA NA 9840 7308 2238 1672 2923 NA NA NA NA 3382 5831 2343 1697 2864 NA NA NA
1634331600.0 10024.1 NA 242 485 0 NA NA NA NA NA NA 1709 1536 0 NA NA NA NA NA NA 7901 7093 2217 NA NA NA NA NA NA 2908 5473 2305 NA NA NA NA NA
1634331600.0 10024.2 NA 247 491 0 NA NA NA NA NA NA 1773 1472 0 NA NA NA NA NA NA 7827 6957 2161 NA NA NA NA NA NA 2890 5370 2244 NA NA NA NA NA
1634331600.0 10024.3 NA 241 492 0 NA NA NA NA NA NA 1709 1536 0 NA NA NA NA NA NA 8102 6959 2188 NA NA NA NA NA NA 2990 5340 2316 NA NA NA NA NA
1634331600.0 10024.4 NA 245 490 0 NA NA NA NA NA NA 1709 1472 0 NA NA NA NA NA NA 7940 6940 2235 NA NA NA NA NA NA 2945 5359 2325 NA NA NA NA NA
1634331600.0 10024.5 NA 243 485 0 NA NA NA NA NA NA 1709 1472 0 NA NA NA NA NA NA 7931 7062 2215 NA NA NA NA NA NA 2935 5441 2310 NA NA NA NA NA
1634331600.0 10025.0 NA 238 472 0 99 242 NA NA NA NA 1607 1561 0 589 1210 NA NA NA NA 7716 6248 2212 1411 2990 NA NA NA NA 2833 5437 2322 1507 3004 NA NA NA
1634331600.0 10026.0 NA 250 489 0 96 247 NA NA NA NA 1671 1536 0 589 1210 NA NA NA NA 8136 8128 2302 1419 3261 NA NA NA NA 2976 5781 2410 1461 3265 NA NA NA
1634331600.0 1003.0 NA 303 NA NA NA NA NA NA NA NA 1432 NA NA NA NA NA NA NA NA 3782 NA NA NA NA NA NA NA NA 3404 NA NA NA NA NA NA NA
