Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634590800.0 10004.0 NA 237 475 0 87 216 NA 1607 1560 0 589 1029 NA 4375 3410 1147 717 1444 NA 1578 3148 1192 779 1502
1634590800.0 10007.0 NA 219 467 0 116 221 NA 1645 1535 0 653 1132 NA 4363 3473 1268 828 1615 NA 1653 3031 1320 889 1682
1634590800.0 10008.0 NA 230 468 0 117 235 NA 1709 1471 0 653 1209 NA 4540 3696 1173 787 1747 NA 1636 3273 1231 833 1792
1634590800.0 1001.2 NA 526 157 0 NA NA NA 2103 792 0 NA NA NA 38605 5880 317 NA NA NA 12325 3630 353 NA NA
1634590800.0 10024.0 NA 234 487 0 128 242 NA 1709 1471 0 653 1210 NA 4458 4275 1189 803 1829 NA 1657 3399 1245 831 1872
1634590800.0 10025.0 NA 236 478 0 87 238 NA 1543 1535 0 589 1210 NA 4677 3775 1161 702 1669 NA 1637 3285 1216 759 1694
1634590800.0 10026.0 NA 247 494 0 90 242 NA 1607 1535 0 589 1210 NA 4896 4630 1174 771 1584 NA 1757 3399 1223 827 1588
1634590800.0 10042.0 NA 234 476 0 118 239 NA 1645 1560 0 653 1210 NA 4461 3713 1263 852 1737 NA 1639 3124 1319 909 1746
1634590800.0 10071.0 NA 243 486 0 89 240 NA 1773 1471 0 589 1210 NA 5109 4099 1217 742 1743 NA 1805 3323 1266 787 1763
1634590800.0 101.0 93 NA NA NA NA NA 495 NA NA NA NA NA 1553 NA NA NA NA NA 1598 NA NA NA NA NA
1634590800.0 1010.0 NA 38 69 0 NA NA NA 1098 586 0 NA NA NA 317 393 285 NA NA NA 414 412 325 NA NA
1634590800.0 102.0 90 NA NA NA NA NA 495 NA NA NA NA NA 1381 NA NA NA NA NA 1467 NA NA NA NA NA
1634590800.0 1020.0 NA 43 39 0 45 NA NA 1098 584 0 1098 NA NA 511 237 100 412 NA NA 578 274 122 485 NA
1634590800.0 1040.0 NA 468 44 0 NA NA NA 2102 583 0 NA NA NA 26618 368 235 NA NA NA 8373 411 256 NA NA
1634590800.0 1040.1 NA 72 41 0 NA NA NA 1100 583 0 NA NA NA 725 254 186 NA NA NA 1038 281 220 NA NA
1634590800.0 1041.0 NA 66 41 0 NA NA NA 1100 584 0 NA NA NA 493 300 120 NA NA NA 637 341 149 NA NA
1634590800.0 105.0 85 127 46 NA NA NA 1107 590 483 NA NA NA 3073 865 363 NA NA NA 1842 611 407 NA NA NA
1634590800.0 10804.0 NA 227 469 0 84 230 NA 1543 1471 0 589 1209 NA 4298 3609 1047 655 1841 NA 1561 3279 1094 711 1908
1634590800.0 10805.0 NA 217 459 0 84 237 NA 1607 1496 0 589 1209 NA 4324 3744 1136 695 1645 NA 1608 3347 1207 756 1663
1634590800.0 10807.0 NA 219 461 0 115 221 NA 1709 1535 0 653 1133 NA 4267 3632 1195 834 1655 NA 1595 3195 1245 882 1679
1634590800.0 10809.0 NA 224 461 0 116 248 NA 1709 1471 0 653 1210 NA 4711 3595 1220 707 1870 NA 1696 3159 1278 766 1907
1634590800.0 10823.0 NA 218 460 0 89 220 NA 1542 1471 0 589 1209 NA 3751 3504 1154 682 1626 NA 1388 3140 1204 732 1656
1634590800.0 10824.501 NA 232 128 0 NA NA NA 1543 658 0 NA NA NA 3853 1174 560 NA NA NA 1391 1161 603 NA NA
1634590800.0 10824.505 NA 238 112 0 NA NA NA 1543 658 0 NA NA NA 4494 1157 569 NA NA NA 1592 1159 612 NA NA
1634590800.0 10824.511 NA 236 99 0 NA NA NA 1543 594 0 NA NA NA 4868 835 398 NA NA NA 1666 823 442 NA NA
1634590800.0 10824.521 NA 233 83 0 NA NA NA 1671 598 0 NA NA NA 4324 809 373 NA NA NA 1613 795 423 NA NA
1634590800.0 10842.501 NA 220 108 0 NA NA NA 1709 658 0 NA NA NA 3866 1093 518 NA NA NA 1563 1141 565 NA NA
1634590800.0 10842.505 NA 229 109 0 NA NA NA 1709 658 0 NA NA NA 3912 1184 533 NA NA NA 1436 1237 574 NA NA
1634590800.0 1102.0 NA 148 323 172 118 NA NA 1167 1303 665 558 NA NA 5764 9243 3913 888 NA NA 2174 4407 1670 603 NA
1634590800.0 11634.505 NA 326 130 0 NA NA NA 1803 723 0 NA NA NA 2926 1509 581 NA NA NA 1930 1515 620 NA NA
1634590800.0 11634.511 NA 325 106 0 NA NA NA 1803 658 0 NA NA NA 2799 1349 446 NA NA NA 1790 1317 490 NA NA
1634590800.0 11634.911 95 327 562 0 123 NA 1107 1226 1602 0 653 NA 8870 4833 7286 3014 2562 NA 3610 2855 5057 3090 1976 NA
1634590800.0 11650.505 NA 319 130 0 NA NA NA 1803 723 0 NA NA NA 2676 1415 581 NA NA NA 1834 1427 619 NA NA
1634590800.0 11650.911 93 315 545 0 125 NA 1108 1162 1601 0 653 NA 4356 5166 6241 2850 2673 NA 2474 3128 4669 2900 1950 NA
1634590800.0 123.1 381 NA NA NA NA NA 959 NA NA NA NA NA 1411 NA NA NA NA NA 1062 NA NA NA NA NA
1634590800.0 123.2 379 NA NA NA NA NA 1022 NA NA NA NA NA 2333 NA NA NA NA NA 1606 NA NA NA NA NA
1634590800.0 123.3 307 NA NA NA NA NA 753 NA NA NA NA NA 1825 NA NA NA NA NA 1581 NA NA NA NA NA
1634590800.0 124.1 371 NA NA NA NA NA 893 NA NA NA NA NA 1212 NA NA NA NA NA 1011 NA NA NA NA NA
1634590800.0 124.2 375 NA NA NA NA NA 894 NA NA NA NA NA 2009 NA NA NA NA NA 1585 NA NA NA NA NA
1634590800.0 124.4 375 NA NA NA NA NA 829 NA NA NA NA NA 1183 NA NA NA NA NA 1022 NA NA NA NA NA
1634590800.0 124.5 375 NA NA NA NA NA 830 NA NA NA NA NA 1198 NA NA NA NA NA 990 NA NA NA NA NA
1634590800.0 124.6 320 NA NA NA NA NA 753 NA NA NA NA NA 1158 NA NA NA NA NA 958 NA NA NA NA NA
1634590800.0 1302.0 100 176 257 NA NA NA 1107 1132 1225 NA NA NA 7014 1277 2140 NA NA NA 2818 686 1745 NA NA NA
1634590800.0 1303.17 85 228 285 NA NA NA 1107 1196 1213 NA NA NA 13034 4137 2991 NA NA NA 6136 1477 2326 NA NA NA
1634590800.0 1307.0 NA 151 198 56 0 NA NA 1540 1041 586 0 NA NA 1263 1437 403 531 NA NA 736 1222 450 570 NA
