Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1634504400.0 109.0 93 126 281 NA NA 244 242 677 NA NA 2302 422 1771 NA NA 2257 755 3309 NA NA
1634504400.0 115.0 87 124 278 NA NA 243 236 671 NA NA 1965 423 1717 NA NA 1709 1184 2391 NA NA
1634504400.0 11723.17 NA 297 543 0 NA NA 527 983 0 NA NA 2095 3145 947 NA NA 2748 4250 1658 NA
1634504400.0 120.0 62 117 271 NA NA 192 235 729 NA NA 516 366 1565 NA NA 1053 1254 3373 NA NA
1634504400.0 127.0 66 113 276 NA NA 181 232 751 NA NA 708 372 1590 NA NA 1268 973 2628 NA NA
1634504400.0 129.0 61 114 260 NA NA 182 231 704 NA NA 549 404 1682 NA NA 1577 1202 2983 NA NA
1634504400.0 130.0 65 117 270 NA NA 181 227 674 NA NA 581 403 1676 NA NA 1065 865 2241 NA NA
1634504400.0 132.0 88 118 281 NA NA 240 249 690 NA NA 2091 425 1724 NA NA 1960 1058 2780 NA NA
1634504400.0 133.0 91 127 289 NA NA 246 239 707 NA NA 2844 433 1884 NA NA 2113 828 2507 NA NA
1634504400.0 23461.97 898 NA NA NA NA 1606 NA NA NA NA 9115 NA NA NA NA 6113 NA NA NA NA
1634504400.0 4.17 NA 30 283 0 139 NA 104 666 0 300 NA 224 3004 381 1137 NA 343 3837 865 1623
1634504400.0 4.28 NA 70 282 0 NA NA 143 711 0 NA NA 270 3257 1874 NA NA 1191 4529 2190 NA
1634504400.0 4000.0 NA 143 303 NA NA NA 282 734 NA NA NA 2250 4592 NA NA NA 2638 5406 NA NA
1634504400.0 4001.0 NA 192 356 NA NA NA 348 767 NA NA NA 827 2597 NA NA NA 1196 3856 NA NA
1634504400.0 4002.0 NA 137 293 NA NA NA 274 716 NA NA NA 1840 2910 NA NA NA 1649 2541 NA NA
