Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1633986000.0 1.0 176 257 345 NA NA NA NA NA NA 2097370 2097340 2097520 NA NA NA NA NA NA 2946 1019 1812 NA NA NA NA NA NA 3904 2576 3304 NA NA NA NA NA NA
1633986000.0 10.0 NA 317 520 0 NA NA NA NA NA NA 2097360 2097630 0 NA NA NA NA NA NA 6249 10987 986 NA NA NA NA NA NA 4253 5340 1221 NA NA NA NA NA
1633986000.0 1000.0 NA 496 272 0 156 NA NA NA NA NA 2097480 2097370 0 2097300 NA NA NA NA NA 9670 2737 826 840 NA NA NA NA NA 10012 4722 1731 1485 NA NA NA NA
1633986000.0 10001.0 NA 380 674 0 183 319 NA NA NA NA 2097370 2097720 0 2097330 2097420 NA NA NA NA 6269 3495 1190 722 1801 NA NA NA NA 3886 5702 1871 1381 2248 NA NA NA
1633986000.0 10002.0 NA 378 678 0 181 308 NA NA NA NA 2097370 2097720 0 2097330 2097420 NA NA NA NA 6850 3925 1312 797 2049 NA NA NA NA 5240 6000 2110 1921 3992 NA NA NA
1633986000.0 10003.0 NA 383 678 0 181 309 NA NA NA NA 2097360 2097720 0 2097330 2097420 NA NA NA NA 6873 4050 1324 786 2092 NA NA NA NA 5391 7410 2224 1375 4177 NA NA NA
1633986000.0 10004.0 NA 386 688 0 181 314 NA NA NA NA 2097360 2097720 0 2097330 2097400 NA NA NA NA 6307 3451 1204 708 1812 NA NA NA NA 6181 5892 2365 1213 2200 NA NA NA
1633986000.0 10005.0 NA 383 672 0 180 313 NA NA NA NA 2097370 2097730 0 2097330 2097420 NA NA NA NA 6245 3484 1198 717 1927 NA NA NA NA 4915 5752 1805 1320 2327 NA NA NA
1633986000.0 10006.0 NA 374 665 0 175 284 NA NA NA NA 2097360 2097710 0 2097320 2097390 NA NA NA NA 6845 3692 1305 766 1904 NA NA NA NA 4825 6372 2144 1352 4082 NA NA NA
1633986000.0 10007.0 NA 388 685 0 227 309 NA NA NA NA 2097370 2097710 0 2097370 2097420 NA NA NA NA 6366 3653 1201 958 1770 NA NA NA NA 6749 6430 1783 1338 2178 NA NA NA
1633986000.0 10008.0 NA 376 674 0 226 307 NA NA NA NA 2097370 2097720 0 2097370 2097420 NA NA NA NA 6522 3685 1208 961 1845 NA NA NA NA 5156 5516 1685 1310 2230 NA NA NA
1633986000.0 10009.0 NA 383 699 0 227 304 NA NA NA NA 2097370 2097720 0 2097370 2097430 NA NA NA NA 7017 4254 1324 1060 2056 NA NA NA NA 5470 7677 2012 2241 3853 NA NA NA
