Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1634590800.0 1.0 177 250 343 NA NA NA NA 2097370 2097340 2097520 NA NA NA NA 3208 1095 1951 NA NA NA NA 6405 2473 4345 NA NA NA NA
1634590800.0 1001.2 NA 786 295 0 NA NA NA NA 2097630 2097480 0 NA NA NA NA 83153 3971 434 NA NA NA NA 43636 5181 1128 NA NA NA
1634590800.0 1002.0 NA 489 155 NA NA NA NA NA 2097590 2097290 NA NA NA NA NA 8893 550 NA NA NA NA NA 9024 543 NA NA NA NA
1634590800.0 1004.0 NA 358 182 0 0 0 0 NA 2097450 2097330 0 0 0 0 NA 2185 514 121 204 366 354 NA 4541 3359 681 764 875 438
1634590800.0 101.0 210 NA NA NA NA NA NA 2097350 NA NA NA NA NA NA 1930 NA NA NA NA NA NA 3815 NA NA NA NA NA NA
1634590800.0 1010.0 NA 95 135 0 NA NA NA NA 2097290 2097300 0 NA NA NA NA 260 432 350 NA NA NA NA 1606 2912 825 NA NA NA
1634590800.0 102.0 217 NA NA NA NA NA NA 2097360 NA NA NA NA NA NA 1703 NA NA NA NA NA NA 3677 NA NA NA NA NA NA
1634590800.0 1020.0 NA 133 82 0 124 NA NA NA 2097310 2097280 0 2097320 NA NA NA 453 231 118 434 NA NA NA 2043 1983 441 1017 NA NA
1634590800.0 10224.0 NA 636 1002 0 314 NA NA NA 2097430 2097840 0 2097420 NA NA NA 11821 12039 1243 1929 NA NA NA 9559 13577 1660 3949 NA NA
1634590800.0 103.0 171 239 444 NA NA NA NA 2097340 2097330 2097570 NA NA NA NA 1570 594 2551 NA NA NA NA 3788 1361 4745 NA NA NA NA
1634590800.0 1030.0 NA 341 122 0 0 NA NA NA 2097450 2097310 0 0 NA NA NA 38518 429 114 115 NA NA NA 23432 1284 447 439 NA NA
1634590800.0 1040.0 NA 720 86 0 NA NA NA NA 2097610 2097280 0 NA NA NA NA 66335 360 387 NA NA NA NA 34197 791 511 NA NA NA
1634590800.0 1040.1 NA 172 84 0 NA NA NA NA 2097330 2097280 0 NA NA NA NA 816 361 394 NA NA NA NA 3135 1749 709 NA NA NA
1634590800.0 1041.0 NA 188 140 0 NA NA NA NA 2097320 2097290 0 NA NA NA NA 559 471 193 NA NA NA NA 969 2160 838 NA NA NA
1634590800.0 105.0 174 263 92 NA NA NA NA 2097370 2097330 2097290 NA NA NA NA 3261 1095 255 NA NA NA NA 6492 2150 1133 NA NA NA NA
1634590800.0 106.0 174 0 0 NA NA NA NA 2097320 0 0 NA NA NA NA 1436 277 2466 NA NA NA NA 3897 906 4533 NA NA NA NA
1634590800.0 107.0 178 256 477 NA NA NA NA 2097380 2097330 2097590 NA NA NA NA 4038 1062 3137 NA NA NA NA 4723 2371 4494 NA NA NA NA
1634590800.0 10824.501 NA 400 228 0 NA NA NA NA 2097360 2097360 0 NA NA NA NA 7027 1063 499 NA NA NA NA 4650 3684 962 NA NA NA
1634590800.0 10824.505 NA 378 228 0 NA NA NA NA 2097370 2097360 0 NA NA NA NA 6206 955 471 NA NA NA NA 5368 3061 1048 NA NA NA
1634590800.0 10824.511 NA 385 172 0 NA NA NA NA 2097360 2097340 0 NA NA NA NA 6940 695 358 NA NA NA NA 4629 1667 1392 NA NA NA
1634590800.0 10824.521 NA 397 163 0 NA NA NA NA 2097360 2097330 0 NA NA NA NA 6905 670 374 NA NA NA NA 4745 1877 1660 NA NA NA
1634590800.0 10842.501 NA 379 231 0 NA NA NA NA 2097370 2097360 0 NA NA NA NA 6778 969 491 NA NA NA NA 5951 2799 1622 NA NA NA
1634590800.0 10842.505 NA 385 229 0 NA NA NA NA 2097370 2097360 0 NA NA NA NA 6954 976 509 NA NA NA NA 4800 3796 1442 NA NA NA
1634590800.0 10859.0 NA 389 731 0 187 320 NA NA 2097370 2097740 0 2097330 2097420 NA NA 6266 9542 1245 733 1961 NA NA 5302 11518 2598 1529 3856 NA
1634590800.0 109.0 180 253 483 NA NA NA NA 2097380 2097330 2097590 NA NA NA NA 5422 1129 3587 NA NA NA NA 5430 2823 5470 NA NA NA NA
1634590800.0 110.0 179 265 471 NA NA NA NA 2097320 2097330 2097590 NA NA NA NA 1372 981 2760 NA NA NA NA 1960 3182 6008 NA NA NA NA
1634590800.0 11024.0 NA 725 1091 0 325 NA NA NA 2097450 2097860 0 2097420 NA NA NA 13988 15095 1286 1977 NA NA NA 10300 14437 2730 3865 NA NA
1634590800.0 11024.2 NA 738 1128 0 311 NA NA NA 2097440 2097890 0 2097410 NA NA NA 14371 17163 1281 1803 NA NA NA 11203 16202 2996 4214 NA NA
1634590800.0 11024.6 NA NA 1103 0 321 NA NA NA NA 2097870 0 2097420 NA NA NA NA 17016 1283 1960 NA NA NA NA 17404 3409 4375 NA NA
1634590800.0 11025.0 NA 731 1099 0 322 NA NA NA 2097450 2097880 0 2097420 NA NA NA 14467 14817 1261 2007 NA NA NA 11342 14696 2820 5413 NA NA
1634590800.0 111.0 175 255 477 NA NA NA NA 2097370 2097330 2097590 NA NA NA NA 2950 835 2898 NA NA NA NA 4231 1925 5900 NA NA NA NA
1634590800.0 115.0 178 251 478 NA NA NA NA 2097380 2097330 2097590 NA NA NA NA 4600 1110 3255 NA NA NA NA 5283 3216 4438 NA NA NA NA
1634590800.0 11601.0 NA 471 NA NA NA NA NA NA 2097420 NA NA NA NA NA NA 3862 NA NA NA NA NA NA 6629 NA NA NA NA NA
1634590800.0 11602.0 NA 491 NA NA NA NA NA NA 2097420 NA NA NA NA NA NA 3831 NA NA NA NA NA NA 6656 NA NA NA NA NA
1634590800.0 11603.0 NA 484 NA NA NA NA NA NA 2097420 NA NA NA NA NA NA 4147 NA NA NA NA NA NA 8868 NA NA NA NA NA
1634590800.0 11605.0 NA 474 NA NA NA NA NA NA 2097430 NA NA NA NA NA NA 3958 NA NA NA NA NA NA 6307 NA NA NA NA NA
1634590800.0 11607.0 NA 477 886 0 252 NA NA NA 2097420 2097750 0 2097370 NA NA NA 4011 7651 1853 2243 NA NA NA 7595 11146 2972 3865 NA NA
1634590800.0 11630.0 NA 522 NA NA NA NA NA NA 2097440 NA NA NA NA NA NA 5121 NA NA NA NA NA NA 6305 NA NA NA NA NA
1634590800.0 11634.0 NA 517 NA NA NA NA NA NA 2097430 NA NA NA NA NA NA 4267 NA NA NA NA NA NA 6388 NA NA NA NA NA
1634590800.0 11634.5 NA 510 251 0 NA NA NA NA 2097430 2097350 0 NA NA NA NA 4335 1870 419 NA NA NA NA 7190 4545 788 NA NA NA
1634590800.0 11634.511 NA 511 212 0 NA NA NA NA 2097430 2097360 0 NA NA NA NA 4283 1607 324 NA NA NA NA 6621 4394 761 NA NA NA
1634590800.0 11634.521 NA 523 201 0 NA NA NA NA 2097430 2097350 0 NA NA NA NA 4313 1493 332 NA NA NA NA 7294 3187 712 NA NA NA
1634590800.0 11634.91 NA 509 NA NA NA NA NA NA 2097430 NA NA NA NA NA NA 4566 NA NA NA NA NA NA 8850 NA NA NA NA NA
1634590800.0 11634.911 249 526 NA NA NA NA NA 2097330 2097430 NA NA NA NA NA 8434 9287 NA NA NA NA NA 6576 11648 NA NA NA NA NA
1634590800.0 11634.912 251 514 NA NA NA NA NA 2097330 2097430 NA NA NA NA NA 7454 4470 NA NA NA NA NA 5201 6861 NA NA NA NA NA
1634590800.0 11643.0 NA 477 NA NA NA NA NA NA 2097430 NA NA NA NA NA NA 4450 NA NA NA NA NA NA 9817 NA NA NA NA NA
1634590800.0 11646.0 NA 477 NA NA NA NA NA NA 2097420 NA NA NA NA NA NA 4007 NA NA NA NA NA NA 6118 NA NA NA NA NA
1634590800.0 11650.0 NA 490 920 0 255 NA NA NA 2097430 2097780 0 2097370 NA NA NA 4222 8459 1901 2261 NA NA NA 7200 11933 2641 3914 NA NA
1634590800.0 11650.505 NA 490 262 0 NA NA NA NA 2097430 2097370 0 NA NA NA NA 4232 1757 474 NA NA NA NA 6871 4248 1615 NA NA NA
1634590800.0 11650.911 241 508 850 0 265 NA NA 2097320 2097420 2097700 0 2097350 NA NA 4523 8035 9945 3845 4274 NA NA 3961 8399 12585 5542 4602 NA NA
