Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1634288400.0 10.0 NA 736 NA 13055100 NA 22566 NA 12235
1634288400.0 1102.0 NA 718 NA 13055100 NA 23889 NA 15890
1634288400.0 113.0 438 NA 13055100 NA 8970 NA 7993 NA
1634288400.0 11634.911 488 NA 13055100 NA 17713 NA 11687 NA
1634288400.0 11634.912 478 NA 13055100 NA 17861 NA 11727 NA
1634288400.0 118.0 443 NA 13055100 NA 13897 NA 10315 NA
1634288400.0 12.0 NA 735 NA 13055100 NA 20880 NA 11052
1634288400.0 121.0 448 NA 13055100 NA 15370 NA 13251 NA
1634288400.0 125.0 470 NA 13055100 NA 11150 NA 10558 NA
1634288400.0 12634.99 NA 1892 NA 13055200 NA 26904 NA 26324
1634288400.0 13.0 NA 623 NA 13055100 NA 33095 NA 40390
1634288400.0 1302.181 414 NA 13055100 NA 14679 NA 8305 NA
1634288400.0 1304.181 418 NA 13055100 NA 10068 NA 5639 NA
1634288400.0 132.0 429 NA 13055100 NA 11494 NA 10220 NA
1634288400.0 134.701 NA 169 NA 13055000 NA 63254 NA 56459
1634288400.0 134.806 NA 195 NA 13055000 NA 47722 NA 51459
1634288400.0 134.811 NA 179 NA 13055000 NA 56837 NA 60425
1634288400.0 134.901 NA 177 NA 13055000 NA 91381 NA 87382
1634288400.0 134.99602 NA 184 NA 13055000 NA 35507 NA 32482
1634288400.0 1356.0 470 NA 13055100 NA 10299 NA 8288 NA
1634288400.0 1360.0 435 NA 13055100 NA 9900 NA 8595 NA
1634288400.0 1361.0 459 NA 13055100 NA 15493 NA 10381 NA
1634288400.0 1361.17 399 NA 13055100 NA 14912 NA 9921 NA
1634288400.0 1361.18 400 NA 13055100 NA 15961 NA 13028 NA
1634288400.0 1361.181 407 NA 13055100 NA 14973 NA 12966 NA
1634288400.0 1362.0 446 NA 13055100 NA 17650 NA 12809 NA
1634288400.0 1362.17 399 NA 13055100 NA 18572 NA 13883 NA
1634288400.0 1362.18 401 NA 13055100 NA 18846 NA 14018 NA
1634288400.0 1363.0 457 NA 13055100 NA 18370 NA 12790 NA
1634288400.0 1363.17 404 NA 13055100 NA 18551 NA 12168 NA
1634288400.0 1363.18 401 NA 13055100 NA 19425 NA 16783 NA
1634288400.0 14.0 NA 731 NA 13055100 NA 24900 NA 16069
1634288400.0 140.0 410 NA 13055100 NA 11208 NA 12876 NA
1634288400.0 140.55 NA 390 NA 13055000 NA 30081 NA 14140
1634288400.0 148.0 346 NA 13055100 NA 4026 NA 6944 NA
1634288400.0 15.0 NA 660 NA 13055100 NA 18156 NA 9467
1634288400.0 150.0 402 NA 13055100 NA 15177 NA 16000 NA
1634288400.0 158.0 255 NA 13055100 NA 16377 NA 26245 NA
1634288400.0 159.0 395 NA 13055100 NA 12122 NA 20583 NA
1634288400.0 2.0 443 NA 13055100 NA 15165 NA 12408 NA
1634288400.0 20.0 NA 614 NA 13055100 NA 24026 NA 15538
1634288400.0 204.0 448 NA 13055100 NA 10742 NA 8305 NA
1634288400.0 21.0 NA 606 NA 13055100 NA 18660 NA 9374
1634288400.0 23.0 NA 739 NA 13055100 NA 21253 NA 13392
1634288400.0 24.0 NA 725 NA 13055100 NA 23185 NA 14847
1634288400.0 25.0 NA 725 NA 13055100 NA 25923 NA 19506
1634288400.0 250200.118 397 NA 13055100 NA 10819 NA 8203 NA
1634288400.0 250202.1 NA 1676 NA 13055200 NA 33771 NA 24213
1634288400.0 250202.171 NA 1762 NA 13055200 NA 47789 NA 35668
1634288400.0 250202.181 NA 2151 NA 13055300 NA 46703 NA 31938
1634288400.0 250202.183 417 NA 13055100 NA 14948 NA 8668 NA
1634288400.0 250202.3 NA 1679 NA 13055200 NA 34597 NA 18780
1634288400.0 250202.5 NA 1702 NA 13055200 NA 32996 NA 28763
1634288400.0 250206.181 NA 2072 NA 13055300 NA 47923 NA 42071
1634288400.0 25211.0 449 NA 13055100 NA 14401 NA 10476 NA
1634288400.0 25211.17 402 NA 13055100 NA 15734 NA 12141 NA
1634288400.0 25211.18 406 NA 13055100 NA 15373 NA 11708 NA
1634288400.0 25212.0 459 NA 13055100 NA 17974 NA 14995 NA
1634288400.0 25212.17 401 NA 13055100 NA 19542 NA 15400 NA
1634288400.0 25212.18 400 NA 13055100 NA 18954 NA 13873 NA
1634288400.0 25213.0 456 NA 13055100 NA 18945 NA 15548 NA
1634288400.0 25213.17 403 NA 13055100 NA 18342 NA 14215 NA
1634288400.0 25213.18 408 NA 13055100 NA 18785 NA 12100 NA
1634288400.0 26.0 NA 747 NA 13055100 NA 20814 NA 12833
