Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634331600.0 1.0 136 179 285 NA NA NA NA NA NA 451 459 833 NA NA NA NA NA NA 2618 697 1426 NA NA NA NA NA NA 5824 3692 8393 NA NA NA NA NA NA
1634331600.0 10.0 NA 197 427 0 NA NA NA NA NA NA 509 1082 0 NA NA NA NA NA NA 3866 8877 557 NA NA NA NA NA NA 6035 3852 768 NA NA NA NA NA
1634331600.0 1000.0 NA 391 198 0 101 NA NA NA NA NA 926 497 0 286 NA NA NA NA NA 7402 1429 440 414 NA NA NA NA NA 8901 2859 687 517 NA NA NA NA
1634331600.0 10001.0 NA 284 577 0 132 220 NA NA NA NA 646 1339 0 369 551 NA NA NA NA 4077 2179 633 418 960 NA NA NA NA 4334 7229 1822 1012 1310 NA NA NA
1634331600.0 10002.0 NA 282 577 0 131 241 NA NA NA NA 680 1339 0 372 594 NA NA NA NA 4436 2484 680 454 1027 NA NA NA NA 3223 5449 927 1542 2817 NA NA NA
1634331600.0 10003.0 NA 284 580 0 131 243 NA NA NA NA 646 1347 0 369 597 NA NA NA NA 4108 2334 635 430 1011 NA NA NA NA 3782 5106 1190 1610 1383 NA NA NA
1634331600.0 10005.0 NA 280 570 0 131 243 NA NA NA NA 666 1316 0 372 597 NA NA NA NA 4055 2183 623 418 1008 NA NA NA NA 3481 5118 885 656 1786 NA NA NA
1634331600.0 10006.0 NA 284 561 0 128 203 NA NA NA NA 673 1254 0 363 491 NA NA NA NA 4069 2073 634 417 929 NA NA NA NA 4097 5154 1301 1572 2088 NA NA NA
1634331600.0 10007.0 NA 287 573 0 166 219 NA NA NA NA 675 1342 0 479 570 NA NA NA NA 4250 2349 667 644 1062 NA NA NA NA 5094 7698 2260 2014 2938 NA NA NA
1634331600.0 10008.0 NA 289 571 0 166 237 NA NA NA NA 652 1336 0 490 596 NA NA NA NA 4091 2261 632 611 961 NA NA NA NA 3408 7299 1291 2168 1721 NA NA NA
1634331600.0 10009.0 NA 289 573 0 166 237 NA NA NA NA 677 1308 0 489 595 NA NA NA NA 4091 2347 640 597 978 NA NA NA NA 4614 6153 1704 1198 2121 NA NA NA
1634331600.0 1001.0 NA 374 181 0 0 0 0 0 0 NA 859 456 0 0 0 0 0 0 NA 7167 804 162 106 144 357 185 349 NA 11252 2060 1175 1400 1042 2774 1041 715
1634331600.0 1001.2 NA 603 238 0 NA NA NA NA NA NA 1200 639 0 NA NA NA NA NA NA 70780 2416 221 NA NA NA NA NA NA 36566 6837 1035 NA NA NA NA NA
1634331600.0 1002.0 NA 401 100 NA NA NA NA NA NA NA 1016 253 NA NA NA NA NA NA NA 7376 393 NA NA NA NA NA NA NA 10876 385 NA NA NA NA NA NA
1634331600.0 10023.0 NA 282 568 0 128 210 NA NA NA NA 678 1334 0 361 534 NA NA NA NA 4019 2128 641 417 906 NA NA NA NA 3735 8195 1305 1153 1121 NA NA NA
1634331600.0 10024.0 NA 294 593 0 167 239 NA NA NA NA 679 1363 0 488 597 NA NA NA NA 4380 3660 711 659 1104 NA NA NA NA 3049 9327 2339 2167 2960 NA NA NA
1634331600.0 10024.1 NA 297 601 0 NA NA NA NA NA NA 686 1344 0 NA NA NA NA NA NA 4318 3276 661 NA NA NA NA NA NA 2038 3350 1016 NA NA NA NA NA
1634331600.0 10024.2 NA 295 591 0 NA NA NA NA NA NA 688 1363 0 NA NA NA NA NA NA 4195 3358 662 NA NA NA NA NA NA 3974 6259 881 NA NA NA NA NA
1634331600.0 10024.3 NA 290 594 0 NA NA NA NA NA NA 693 1344 0 NA NA NA NA NA NA 4180 3401 664 NA NA NA NA NA NA 4700 5163 1174 NA NA NA NA NA
1634331600.0 10024.4 NA 296 594 0 NA NA NA NA NA NA 694 1374 0 NA NA NA NA NA NA 4237 3383 651 NA NA NA NA NA NA 2618 3307 1065 NA NA NA NA NA
1634331600.0 10024.5 NA 298 592 0 NA NA NA NA NA NA 664 1368 0 NA NA NA NA NA NA 4196 3461 665 NA NA NA NA NA NA 5974 4921 924 NA NA NA NA NA
1634331600.0 10025.0 NA 288 582 0 131 242 NA NA NA NA 651 1328 0 371 594 NA NA NA NA 4300 2409 682 463 1032 NA NA NA NA 5686 4739 2067 2299 2456 NA NA NA
1634331600.0 10026.0 NA 296 589 0 133 245 NA NA NA NA 697 1344 0 372 592 NA NA NA NA 4225 4326 669 445 1002 NA NA NA NA 3307 5527 1264 1182 2529 NA NA NA
1634331600.0 1003.0 NA 391 NA NA NA NA NA NA NA NA 972 NA NA NA NA NA NA NA NA 1501 NA NA NA NA NA NA NA NA 1839 NA NA NA NA NA NA NA
1634331600.0 1004.0 NA 333 138 0 0 0 0 NA NA NA 804 393 0 0 0 0 NA NA NA 3040 370 91 127 321 326 NA NA NA 8033 2078 179 219 442 477 NA NA
1634331600.0 10042.0 NA 292 589 0 169 241 NA NA NA NA 683 1358 0 482 597 NA NA NA NA 4226 2532 663 609 1016 NA NA NA NA 4969 7910 2081 2099 3710 NA NA NA
1634331600.0 10059.0 NA 293 585 0 133 244 NA NA NA NA 686 1357 0 371 593 NA NA NA NA 4290 7723 671 433 1014 NA NA NA NA 3699 7578 1087 789 1196 NA NA NA
1634331600.0 10071.0 NA 296 587 0 133 242 NA NA NA NA 685 1335 0 372 593 NA NA NA NA 4170 3012 660 433 1034 NA NA NA NA 4319 5825 1572 1028 1793 NA NA NA
1634331600.0 101.0 155 NA NA NA NA NA NA NA NA 479 NA NA NA NA NA NA NA NA 1669 NA NA NA NA NA NA NA NA 4175 NA NA NA NA NA NA NA NA
1634331600.0 1010.0 NA 68 101 0 NA NA NA NA NA NA 272 315 0 NA NA NA NA NA NA 196 305 182 NA NA NA NA NA NA 1579 3534 1335 NA NA NA NA NA
1634331600.0 102.0 148 NA NA NA NA NA NA NA NA 479 NA NA NA NA NA NA NA NA 1501 NA NA NA NA NA NA NA NA 4887 NA NA NA NA NA NA NA NA
1634331600.0 1020.0 NA 85 63 0 93 NA NA NA NA NA 328 254 0 327 NA NA NA NA NA 331 182 105 329 NA NA NA NA NA 2818 1510 1780 2109 NA NA NA NA
