Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1634590800.0 108.0 83 124 273 256 236 587 2094 419 1498 1515 1079 2506
1634590800.0 110.0 68 117 262 192 235 556 639 390 1392 1583 2747 2781
1634590800.0 112.0 82 117 269 256 240 555 1588 396 1386 1829 1123 2585
1634590800.0 125.0 88 123 271 266 231 564 1956 419 1431 2248 1585 2648
1634590800.0 1325.6 NA 200 NA NA 493 NA NA 3530 NA NA 3245 NA
1634590800.0 133.0 91 128 277 262 243 578 2986 437 1642 2516 1596 2885
1634590800.0 23461.97 905 NA NA 1487 NA NA 9289 NA NA 6808 NA NA
1634590800.0 4000.0 NA 137 297 NA 279 622 NA 2054 4032 NA 2024 3814
1634590800.0 4003.0 NA 139 288 NA 279 620 NA 1717 2665 NA 1679 3241
1634590800.0 4006.0 63 189 342 203 330 660 827 795 2077 1158 1755 2983
1634590800.0 4008.0 70 NA 286 209 NA 586 857 NA 1427 1895 NA 2821
1634590800.0 537.0 40 0 NA 128 0 NA 3870 177 NA 6464 468 NA
