Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1634504400.0 1.0 73 146 176 NA NA NA NA 187 583 599 NA NA NA NA 1181 435 1169 NA NA NA NA 2510 595 2131 NA NA NA NA
1634504400.0 10009.0 NA 211 353 0 66 NA NA NA 557 636 0 127 NA NA NA 2261 2106 1015 297 NA NA NA 1200 3183 1376 1532 NA NA
1634504400.0 10023.0 NA 208 344 0 74 NA NA NA 601 742 0 122 NA NA NA 2285 2025 1018 650 NA NA NA 2160 3428 1427 1154 NA NA
1634504400.0 103.0 41 0 0 NA NA NA NA 97 0 0 NA NA NA NA 533 229 1600 NA NA NA NA 1779 452 2593 NA NA NA NA
1634504400.0 106.0 41 0 0 NA NA NA NA 97 0 0 NA NA NA NA 489 230 1530 NA NA NA NA 1163 1598 3730 NA NA NA NA
1634504400.0 107.0 74 120 264 NA NA NA NA 212 583 652 NA NA NA NA 2123 510 1817 NA NA NA NA 1885 771 3950 NA NA NA NA
1634504400.0 10801.0 NA 272 372 0 82 163 NA NA 679 686 0 145 277 NA NA 3051 2163 1793 877 825 NA NA 3884 3718 2137 2070 1855 NA
1634504400.0 10804.0 NA 275 375 0 81 163 NA NA 633 700 0 142 278 NA NA 3008 2168 1793 799 841 NA NA 3551 4609 2888 2207 1822 NA
1634504400.0 10805.0 NA 276 377 0 77 196 NA NA 678 731 0 133 299 NA NA 2927 2047 1745 401 825 NA NA 5565 5853 2461 1456 1750 NA
1634504400.0 10807.0 NA 285 376 0 91 152 NA NA 678 660 0 147 250 NA NA 2965 2089 1746 468 795 NA NA 4196 3828 3193 3270 1614 NA
1634504400.0 10808.0 NA 283 376 0 90 198 NA NA 591 731 0 157 306 NA NA 3124 2219 1820 480 841 NA NA 4198 4612 2892 1167 2191 NA
1634504400.0 10809.0 NA 280 379 0 90 193 NA NA 635 734 0 152 310 NA NA 3054 2198 1824 485 865 NA NA 4609 3630 3164 1501 1706 NA
1634504400.0 10824.5 NA 308 158 0 NA NA NA NA 678 245 0 NA NA NA NA 3308 612 145 NA NA NA NA 4078 1740 434 NA NA NA
1634504400.0 10824.7 NA 286 397 0 91 191 NA NA 588 770 0 153 315 NA NA 1930 2481 1857 475 866 NA NA 3646 4829 2232 842 1687 NA
1634504400.0 10824.8 NA 311 395 0 92 195 NA NA 681 649 0 162 319 NA NA 3142 2391 1776 467 851 NA NA 4022 4929 3183 1765 1990 NA
1634504400.0 10826.0 NA 312 399 0 92 203 NA NA 678 682 0 162 333 NA NA 3326 2673 1888 492 885 NA NA 4652 3783 3575 1049 1738 NA
1634504400.0 10842.7 NA 265 388 0 91 197 NA NA 678 657 0 155 306 NA NA 1860 2270 1853 489 824 NA NA 3833 3614 2976 2116 1608 NA
1634504400.0 10859.0 NA 308 393 0 92 201 NA NA 679 760 0 148 321 NA NA 3319 3078 1832 478 877 NA NA 3722 4536 2216 1098 1694 NA
1634504400.0 109.0 83 136 267 NA NA NA NA 222 582 616 NA NA NA NA 2991 543 2027 NA NA NA NA 2015 1501 3125 NA NA NA NA
1634504400.0 110.0 58 149 260 NA NA NA NA 126 581 621 NA NA NA NA 605 483 1809 NA NA NA NA 854 786 2881 NA NA NA NA
1634504400.0 11024.2 NA 527 741 0 192 NA NA NA 877 1040 0 304 NA NA NA 6655 5777 1820 886 NA NA NA 8382 6376 3120 3011 NA NA
1634504400.0 111.0 72 108 269 NA NA NA NA 192 584 606 NA NA NA NA 1546 438 1741 NA NA NA NA 3351 1531 4013 NA NA NA NA
1634504400.0 112.0 81 124 262 NA NA NA NA 208 584 598 NA NA NA NA 1872 484 1783 NA NA NA NA 3279 642 2878 NA NA NA NA
1634504400.0 11224.0 NA 275 391 0 NA NA NA NA 634 732 0 NA NA NA NA 1856 2462 1813 NA NA NA NA 3934 5076 2794 NA NA NA
1634504400.0 11224.6 NA 276 391 0 NA NA NA NA 678 720 0 NA NA NA NA 1918 2612 1935 NA NA NA NA 3420 4229 2381 NA NA NA
1634504400.0 113.0 85 139 263 NA NA NA NA 207 584 616 NA NA NA NA 1958 500 1783 NA NA NA NA 2392 728 3037 NA NA NA NA
