Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634634000.0 1000.0 NA 279 137 0 65 NA NA 616 304 0 156 NA NA 2908 1115 383 368 NA NA 3288 1515 651 1099 NA
1634634000.0 10001.0 NA 219 440 0 79 154 NA 441 832 0 191 318 NA 2663 1862 613 359 814 NA 1314 3387 1145 804 1432
1634634000.0 10002.0 NA 223 442 0 79 170 NA 431 943 0 193 354 NA 2644 1895 614 359 827 NA 1820 4116 1068 978 1436
1634634000.0 10003.0 NA 226 442 0 89 173 NA 422 917 0 192 353 NA 2662 1919 621 354 821 NA 2642 2832 836 605 1554
1634634000.0 10004.0 NA 223 440 0 78 146 NA 416 895 0 191 309 NA 2644 1870 611 361 794 NA 1713 2732 1179 958 2412
1634634000.0 10005.0 NA 220 445 0 79 169 NA 428 992 0 193 340 NA 2647 1877 619 363 858 NA 2066 2461 1198 1282 1545
1634634000.0 10006.0 NA 221 429 0 76 138 NA 424 942 0 184 290 NA 2662 1826 613 343 773 NA 1847 2792 905 637 1302
1634634000.0 10007.0 NA 226 431 0 107 151 NA 432 937 0 274 323 NA 2665 1890 623 506 767 NA 2172 2353 1069 798 1006
1634634000.0 10008.0 NA 226 440 0 108 169 NA 429 978 0 257 347 NA 2664 1920 621 521 809 NA 1707 4147 1417 1879 1035
1634634000.0 10009.0 NA 226 451 0 107 173 NA 435 920 0 270 348 NA 2633 1949 623 524 863 NA 1591 3445 1017 1213 1826
1634634000.0 1001.2 NA 495 143 0 NA NA NA 980 312 0 NA NA NA 14082 1550 125 NA NA NA 6691 2282 467 NA NA
1634634000.0 10023.0 NA 226 447 0 87 139 NA 427 932 0 184 284 NA 2673 1853 627 343 769 NA 1530 2523 1523 582 1268
1634634000.0 10024.0 NA 234 455 0 108 173 NA 421 948 0 272 351 NA 2740 2157 652 530 852 NA 2212 3587 1631 1079 1692
1634634000.0 10025.0 NA 228 443 0 79 174 NA 437 931 0 193 341 NA 2683 1928 640 358 853 NA 1825 3262 1120 697 1817
1634634000.0 10026.0 NA 236 463 0 81 171 NA 447 957 0 193 348 NA 2726 2289 650 368 867 NA 1991 2602 1429 713 2079
1634634000.0 10042.0 NA 230 447 0 108 167 NA 433 860 0 268 334 NA 2721 1955 654 521 841 NA 1406 3377 1878 1382 1204
1634634000.0 10059.0 NA 232 464 0 80 174 NA 444 1018 0 191 353 NA 2757 2628 653 370 870 NA 1808 3919 1173 1014 1239
1634634000.0 10071.0 NA 228 452 0 81 172 NA 445 1011 0 193 353 NA 2656 2078 654 367 860 NA 1701 3423 1242 779 1673
1634634000.0 10224.0 NA 400 662 0 179 NA NA 661 1141 0 353 NA NA 4712 4049 666 855 NA NA 2384 4606 1139 949 NA
1634634000.0 10224.15 NA 382 663 0 203 NA NA 638 1145 0 451 NA NA 4699 3936 666 1011 NA NA 2760 4953 1098 1592 NA
1634634000.0 10225.0 NA 386 659 0 180 NA NA 653 1121 0 350 NA NA 4629 3503 657 839 NA NA 2587 4404 902 999 NA
1634634000.0 103.0 66 110 266 NA NA NA 190 230 690 NA NA NA 654 275 1524 NA NA NA 1583 747 3136 NA NA NA
1634634000.0 1040.0 NA 439 37 0 NA NA NA 924 119 0 NA NA NA 11450 203 126 NA NA NA 5604 451 305 NA NA
1634634000.0 106.0 61 0 0 NA NA NA 178 0 0 NA NA NA 534 141 1430 NA NA NA 1137 284 2537 NA NA NA
1634634000.0 107.0 86 122 273 NA NA NA 250 240 682 NA NA NA 1722 414 1677 NA NA NA 1414 765 2460 NA NA NA
1634634000.0 108.0 85 123 280 NA NA NA 254 231 704 NA NA NA 2129 422 1714 NA NA NA 1823 1014 2386 NA NA NA
1634634000.0 10801.0 NA 217 436 0 79 152 NA 423 979 0 191 296 NA 2474 1867 616 357 802 NA 1481 2624 1407 702 1638
1634634000.0 10802.0 NA 206 436 0 79 173 NA 402 989 0 193 345 NA 2537 1910 616 365 860 NA 1403 4543 1068 925 2787
1634634000.0 10803.0 NA 217 441 0 79 182 NA 411 988 0 194 358 NA 2516 1919 636 360 848 NA 1269 3395 1651 1312 1073
1634634000.0 10804.0 NA 215 440 0 76 165 NA 434 946 0 184 339 NA 2513 1853 621 354 834 NA 1621 2671 1594 990 1540
1634634000.0 10805.0 NA 215 438 0 76 173 NA 411 976 0 192 347 NA 2524 1882 617 353 833 NA 1349 3163 1510 677 1084
1634634000.0 10806.0 NA 211 432 0 88 141 NA 393 936 0 186 287 NA 2525 1837 626 347 762 NA 1301 3132 1638 740 969
1634634000.0 10807.0 NA 218 431 0 105 146 NA 407 955 0 266 301 NA 2521 1894 619 515 796 NA 1727 4048 1439 859 2836
1634634000.0 10808.0 NA 220 436 0 106 173 NA 415 994 0 261 345 NA 2525 1922 618 518 827 NA 1575 4495 1063 991 1821
1634634000.0 10809.0 NA 219 439 0 106 176 NA 411 946 0 263 346 NA 2525 1934 628 518 863 NA 1342 3885 1206 1377 1987
1634634000.0 10823.0 NA 215 434 0 78 147 NA 423 950 0 193 291 NA 2529 1870 625 371 795 NA 1539 3046 1066 2040 1167
1634634000.0 10824.0 NA 225 452 0 106 178 NA 424 996 0 259 366 NA 2595 2110 655 519 869 NA 1451 3846 1887 1096 1360
1634634000.0 10824.6 NA 227 449 0 107 175 NA 431 872 0 261 348 NA 2567 2148 642 529 877 NA 1555 3634 885 1745 1229
1634634000.0 10824.8 NA 227 447 0 106 178 NA 422 1006 0 263 350 NA 2555 2146 660 524 881 NA 1650 3614 1236 1028 1439
1634634000.0 10825.0 NA 210 440 0 80 173 NA 404 965 0 195 352 NA 2568 1940 634 365 823 NA 1472 2823 1084 753 987
1634634000.0 10826.0 NA 229 451 0 81 178 NA 418 987 0 197 353 NA 2605 2238 648 369 830 NA 1519 4335 1031 1071 994
1634634000.0 10842.0 NA 223 440 0 107 172 NA 412 946 0 264 348 NA 2550 1965 655 530 845 NA 1697 3075 1405 1745 1946
1634634000.0 10859.0 NA 236 458 0 81 176 NA 452 979 0 195 349 NA 2616 2904 654 378 877 NA 1993 3975 1187 1718 1412
1634634000.0 10871.0 NA 227 448 0 80 177 NA 441 935 0 195 351 NA 2591 2160 641 378 871 NA 2486 3521 992 865 1194
1634634000.0 109.0 86 125 278 NA NA NA 247 237 698 NA NA NA 2328 440 1759 NA NA NA 2155 1361 3381 NA NA NA
1634634000.0 11.0 NA 132 293 0 64 NA NA 262 653 0 168 NA NA 1499 1841 545 294 NA NA 1279 2672 1135 486 NA
1634634000.0 110.0 63 117 267 NA NA NA 184 232 688 NA NA NA 596 375 1612 NA NA NA 3440 1370 2840 NA NA NA
1634634000.0 11024.0 NA 424 779 0 182 NA NA 691 1208 0 348 NA NA 5844 4976 688 887 NA NA 3351 5440 1107 1159 NA
1634634000.0 11024.15 NA 415 743 0 209 NA NA 677 1237 0 471 NA NA 5763 4700 676 1062 NA NA 3655 4659 1425 1740 NA
1634634000.0 11024.2 NA 421 751 0 182 NA NA 690 1305 0 347 NA NA 5721 4807 682 900 NA NA 3856 5500 1023 1074 NA
1634634000.0 11025.0 NA 422 737 0 181 NA NA 709 1218 0 355 NA NA 5899 4498 684 864 NA NA 4571 5209 1430 1355 NA
1634634000.0 111.0 93 122 274 NA NA NA 235 236 683 NA NA NA 1157 339 1586 NA NA NA 1715 1595 2515 NA NA NA
1634634000.0 112.0 86 120 272 NA NA NA 241 233 690 NA NA NA 1468 395 1614 NA NA NA 1406 601 2371 NA NA NA
1634634000.0 11224.0 NA 190 428 0 NA NA NA 355 912 0 NA NA NA 1031 2004 640 NA NA NA 963 3127 788 NA NA
1634634000.0 113.0 89 120 275 NA NA NA 247 239 764 NA NA NA 1605 413 1658 NA NA NA 2071 762 2497 NA NA NA
