Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1634677200.0 108.0 87 122 276 NA 253 240 663 NA 1966 423 1719 NA 2495 987 2869 NA
1634677200.0 114.0 87 122 274 NA 244 239 698 NA 1711 420 1668 NA 2246 1723 2821 NA
1634677200.0 117.0 84 123 283 NA 244 236 683 NA 2070 422 1753 NA 2424 632 2852 NA
1634677200.0 118.0 89 124 284 NA 250 241 701 NA 2842 478 1923 NA 1807 1284 3651 NA
1634677200.0 119.0 83 119 279 NA 244 234 677 NA 1264 401 1635 NA 1155 2461 2489 NA
1634677200.0 122.0 69 112 257 NA 194 229 675 NA 660 302 1644 NA 1531 2151 2890 NA
1634677200.0 132.0 81 124 277 NA 241 235 692 NA 2157 462 1871 NA 2108 729 3355 NA
1634677200.0 133.0 90 127 285 NA 244 241 703 NA 2785 449 1893 NA 1778 1583 2559 NA
1634677200.0 4.28 NA 77 286 0 NA 142 705 0 NA 258 3232 1810 NA 1242 4758 2204
1634677200.0 4000.0 NA 145 308 NA NA 287 742 NA NA 2250 4515 NA NA 1974 3199 NA
1634677200.0 4001.0 NA 186 347 NA NA 343 779 NA NA 805 2554 NA NA 2228 3347 NA
1634677200.0 4002.0 NA 136 293 NA NA 277 730 NA NA 1855 2968 NA NA 1851 3267 NA
1634677200.0 4003.0 NA 138 290 NA NA 280 696 NA NA 1895 3120 NA NA 1741 3531 NA
1634677200.0 4006.0 66 189 343 NA 183 342 770 NA 683 746 2255 NA 1574 1293 3496 NA
1634677200.0 4008.0 72 125 291 NA 197 255 772 NA 837 314 1617 NA 1193 1553 2885 NA
1634677200.0 537.0 39 0 NA NA 130 0 NA NA 4051 195 NA NA 5475 503 NA NA
