Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634504400.0 10.0 NA 138 287 0 NA NA NA 273 615 0 NA NA NA 1868 3151 511 NA NA NA 1625 3380 806 NA NA
1634504400.0 1000.0 NA 268 135 0 57 NA NA 486 298 0 153 NA NA 2688 1098 370 372 NA NA 2890 1443 644 802 NA
1634504400.0 10006.0 NA 217 426 0 76 141 NA 429 920 0 185 283 NA 2528 1673 499 357 843 NA 1498 3029 1332 849 1462
1634504400.0 103.0 63 112 253 NA NA NA 177 223 570 NA NA NA 685 279 1339 NA NA NA 1689 979 2285 NA NA NA
1634504400.0 107.0 86 120 267 NA NA NA 232 234 557 NA NA NA 1904 415 1490 NA NA NA 1753 860 2733 NA NA NA
1634504400.0 108.0 82 124 273 NA NA NA 233 237 563 NA NA NA 2436 433 1536 NA NA NA 2060 975 2326 NA NA NA
1634504400.0 11.0 NA 124 285 0 77 NA NA 257 500 0 165 NA NA 1481 1646 524 305 NA NA 1213 2906 857 876 NA
1634504400.0 111.0 86 121 268 NA NA NA 223 235 595 NA NA NA 1189 348 1400 NA NA NA 1926 1466 3219 NA NA NA
1634504400.0 11224.0 NA 180 425 0 NA NA NA 366 809 0 NA NA NA 1053 1838 534 NA NA NA 1614 3436 896 NA NA
1634504400.0 113.0 87 125 268 NA NA NA 233 236 572 NA NA NA 1718 421 1460 NA NA NA 1825 1239 2673 NA NA NA
1634504400.0 114.0 93 122 266 NA NA NA 242 239 563 NA NA NA 1850 422 1466 NA NA NA 2661 859 2183 NA NA NA
1634504400.0 11634.24 NA 209 450 0 86 NA NA 389 859 0 191 NA NA 912 2094 713 862 NA NA 1709 3281 1551 1253 NA
1634504400.0 11634.7 NA 294 527 0 NA NA NA 543 911 0 NA NA NA 1668 2546 771 NA NA NA 2140 4230 1217 NA NA
1634504400.0 117.0 84 124 271 NA NA NA 230 241 583 NA NA NA 2307 427 1530 NA NA NA 2664 1313 3362 NA NA NA
1634504400.0 11723.17 NA 298 537 0 NA NA NA 519 948 0 NA NA NA 1766 2944 779 NA NA NA 2098 4198 1183 NA NA
1634504400.0 12034.0 NA 292 606 0 NA NA NA 536 1047 0 NA NA NA 1731 3117 780 NA NA NA 2251 5031 1381 NA NA
1634504400.0 121.0 92 122 275 NA NA NA 236 238 577 NA NA NA 2976 451 1629 NA NA NA 1971 806 2240 NA NA NA
1634504400.0 126.0 65 117 260 NA NA NA 177 228 571 NA NA NA 1143 379 1432 NA NA NA 1538 960 2872 NA NA NA
1634504400.0 127.0 63 114 254 NA NA NA 162 234 561 NA NA NA 732 376 1382 NA NA NA 1839 1093 2417 NA NA NA
1634504400.0 129.0 62 116 252 NA NA NA 162 226 566 NA NA NA 512 375 1359 NA NA NA 1700 1149 2058 NA NA NA
1634504400.0 13.0 NA 125 277 0 NA NA NA 245 596 0 NA NA NA 363 1862 460 NA NA NA 1023 3005 878 NA NA
1634504400.0 130.0 64 116 255 NA NA NA 163 224 559 NA NA NA 558 388 1349 NA NA NA 1453 1300 2054 NA NA NA
1634504400.0 1311.0 NA 158 330 0 65 NA NA 374 534 0 167 NA NA 1268 1183 464 313 NA NA 1344 2153 794 946 NA
1634504400.0 1317.0 NA 154 315 0 166 NA NA 365 649 0 343 NA NA 1255 1462 426 820 NA NA 1677 2666 1116 1946 NA
1634504400.0 1318.0 NA 156 312 0 142 NA NA 375 651 0 285 NA NA 1241 1442 413 783 NA NA 1266 2687 1208 1669 NA
1634504400.0 1320.0 NA 158 311 0 146 NA NA 378 640 0 294 NA NA 1261 1468 422 768 NA NA 1129 2914 1077 1590 NA
