Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634288400.0 1.0 78 120 177 NA NA NA NA NA NA 251 232 482 NA NA NA NA NA NA 1359 367 938 NA NA NA NA NA NA 1537 1132 1802 NA NA NA NA NA NA
1634288400.0 10.0 NA 151 296 0 NA NA NA NA NA NA 289 626 0 NA NA NA NA NA NA 1873 3034 467 NA NA NA NA NA NA 2200 2133 821 NA NA NA NA NA
1634288400.0 1000.0 NA 276 141 0 53 NA NA NA NA NA 514 293 0 156 NA NA NA NA NA 2656 1091 363 368 NA NA NA NA NA 7872 8289 587 525 NA NA NA NA
1634288400.0 10001.0 NA 224 438 0 82 152 NA NA NA NA 452 918 0 193 293 NA NA NA NA 2750 1738 490 387 890 NA NA NA NA 1467 3181 796 1395 1331 NA NA NA
1634288400.0 10002.0 NA 224 442 0 82 173 NA NA NA NA 433 887 0 196 347 NA NA NA NA 2604 1664 463 358 896 NA NA NA NA 1477 3029 4021 951 2049 NA NA NA
1634288400.0 10003.0 NA 228 445 0 0 NA NA NA NA NA 431 896 0 0 NA NA NA NA NA 2586 1664 476 0 NA NA NA NA NA 1505 2522 1306 0 NA NA NA NA
1634288400.0 10004.0 NA 224 436 0 83 152 NA NA NA NA 428 878 0 195 308 NA NA NA NA 2730 1746 492 388 873 NA NA NA NA 2185 2842 1178 2566 1165 NA NA NA
1634288400.0 10005.0 NA 224 440 0 82 175 NA NA NA NA 432 920 0 195 345 NA NA NA NA 2623 1688 473 370 922 NA NA NA NA 1860 3972 949 1703 2384 NA NA NA
1634288400.0 10006.0 NA 227 433 0 79 143 NA NA NA NA 445 873 0 193 285 NA NA NA NA 2595 1601 486 363 855 NA NA NA NA 2387 2651 1666 1426 2404 NA NA NA
1634288400.0 10007.0 NA 226 434 0 109 158 NA NA NA NA 439 878 0 267 311 NA NA NA NA 2771 1770 505 551 913 NA NA NA NA 4091 2714 2249 2796 1837 NA NA NA
1634288400.0 10008.0 NA 229 437 0 122 171 NA NA NA NA 445 871 0 272 355 NA NA NA NA 2642 1665 470 482 920 NA NA NA NA 2683 2278 3884 1714 1752 NA NA NA
1634288400.0 10009.0 NA 229 440 0 110 171 NA NA NA NA 439 906 0 270 344 NA NA NA NA 2596 1677 486 517 886 NA NA NA NA 2514 2870 1608 1339 1447 NA NA NA
1634288400.0 1001.0 NA 255 129 0 0 0 0 0 0 NA 474 253 0 0 0 0 0 0 NA 2335 549 106 80 105 247 132 270 NA 3358 1139 837 360 196 2223 718 397
1634288400.0 1001.2 NA 499 192 0 NA NA NA NA NA NA 919 441 0 NA NA NA NA NA NA 14072 1925 122 NA NA NA NA NA NA 6654 3095 302 NA NA NA NA NA
1634288400.0 1002.0 NA 278 82 NA NA NA NA NA NA NA 594 167 NA NA NA NA NA NA NA 2700 365 NA NA NA NA NA NA NA 3776 554 NA NA NA NA NA NA
1634288400.0 10023.0 NA 227 433 0 79 143 NA NA NA NA 436 886 0 194 286 NA NA NA NA 2621 1654 469 353 850 NA NA NA NA 1480 3114 852 1083 1485 NA NA NA
1634288400.0 10024.0 NA 236 458 0 110 177 NA NA NA NA 449 922 0 272 348 NA NA NA NA 2676 1941 529 555 996 NA NA NA NA 6163 2491 1558 2472 1680 NA NA NA
1634288400.0 10024.1 NA 232 453 0 NA NA NA NA NA NA 457 906 0 NA NA NA NA NA NA 2707 1957 506 NA NA NA NA NA NA 1463 2246 852 NA NA NA NA NA
1634288400.0 10024.2 NA 238 455 0 NA NA NA NA NA NA 438 926 0 NA NA NA NA NA NA 2680 1940 521 NA NA NA NA NA NA 1685 2041 935 NA NA NA NA NA
1634288400.0 10024.3 NA 238 454 0 NA NA NA NA NA NA 435 899 0 NA NA NA NA NA NA 2684 1943 511 NA NA NA NA NA NA 1265 2330 845 NA NA NA NA NA
1634288400.0 10024.4 NA 236 457 0 NA NA NA NA NA NA 459 894 0 NA NA NA NA NA NA 2709 1939 501 NA NA NA NA NA NA 1309 2003 697 NA NA NA NA NA
1634288400.0 10024.5 NA 237 452 0 NA NA NA NA NA NA 448 937 0 NA NA NA NA NA NA 2720 1902 516 NA NA NA NA NA NA 1488 2281 886 NA NA NA NA NA
1634288400.0 10025.0 NA 229 445 0 95 175 NA NA NA NA 472 890 0 193 348 NA NA NA NA 2766 1803 521 388 931 NA NA NA NA 1791 4543 1276 2395 1208 NA NA NA
1634288400.0 10026.0 NA 236 463 0 83 179 NA NA NA NA 456 943 0 196 351 NA NA NA NA 2690 2084 488 379 921 NA NA NA NA 1803 2799 3169 968 1492 NA NA NA
1634288400.0 1003.0 NA 284 NA NA NA NA NA NA NA NA 579 NA NA NA NA NA NA NA NA 1016 NA NA NA NA NA NA NA NA 3117 NA NA NA NA NA NA NA
1634288400.0 1004.0 NA 230 93 0 0 0 0 NA NA NA 417 204 0 0 0 0 NA NA NA 1378 336 87 112 278 266 NA NA NA 4590 1124 481 199 561 327 NA NA
1634288400.0 10042.0 NA 235 443 0 111 175 NA NA NA NA 462 890 0 276 349 NA NA NA NA 2858 1835 525 536 894 NA NA NA NA 2540 3787 833 824 1181 NA NA NA
1634288400.0 10059.0 NA 241 459 0 84 177 NA NA NA NA 445 941 0 195 351 NA NA NA NA 2731 2453 479 364 892 NA NA NA NA 2293 4511 1308 1119 2512 NA NA NA
1634288400.0 10071.0 NA 229 454 0 83 177 NA NA NA NA 438 907 0 193 347 NA NA NA NA 2837 1862 544 395 964 NA NA NA NA 1585 3464 1552 1960 2429 NA NA NA
1634288400.0 101.0 83 NA NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA NA 820 NA NA NA NA NA NA NA NA 1131 NA NA NA NA NA NA NA NA
1634288400.0 1010.0 NA 28 50 0 NA NA NA NA NA NA 129 162 0 NA NA NA NA NA NA 177 237 143 NA NA NA NA NA NA 543 420 195 NA NA NA NA NA
1634288400.0 102.0 91 NA NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA NA 717 NA NA NA NA NA NA NA NA 1218 NA NA NA NA NA NA NA NA
1634288400.0 1020.0 NA 48 27 0 44 NA NA NA NA NA 191 120 0 188 NA NA NA NA NA 277 164 81 283 NA NA NA NA NA 1066 622 749 532 NA NA NA NA
1634288400.0 10224.0 NA 385 NA 0 179 NA NA NA NA NA 658 NA 0 341 NA NA NA NA NA 5032 NA 538 932 NA NA NA NA NA 3864 NA 768 1226 NA NA NA NA
1634288400.0 10225.0 NA 393 675 0 178 NA NA NA NA NA 694 1163 0 351 NA NA NA NA NA 4863 3588 531 940 NA NA NA NA NA 3230 6962 744 1211 NA NA NA NA
1634288400.0 103.0 69 114 255 NA NA NA NA NA NA 206 225 577 NA NA NA NA NA NA 714 272 1303 NA NA NA NA NA NA 1828 1094 1971 NA NA NA NA NA NA
