Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634245200.0 1.0 78 119 182 NA NA NA 246 536 484 NA NA NA 8174 451 893 NA NA NA 3161 381 885 NA NA NA
1634245200.0 10.0 NA 147 269 NA NA NA NA 449 591 NA NA NA NA 2254 1345 NA NA NA NA 4249 1631 NA NA NA
1634245200.0 1000.0 NA 262 NA NA NA NA NA 458 NA NA NA NA NA 1052 NA NA NA NA NA 1349 NA NA NA NA
1634245200.0 10001.0 NA 225 435 NA NA NA NA 648 884 NA NA NA NA 2722 1836 NA NA NA NA 1174 1753 NA NA NA
1634245200.0 10002.0 NA 221 435 NA NA NA NA 560 888 NA NA NA NA 2727 1874 NA NA NA NA 2450 1553 NA NA NA
1634245200.0 10003.0 NA 225 438 NA NA NA NA 670 917 NA NA NA NA 2722 1885 NA NA NA NA 974 1535 NA NA NA
1634245200.0 10004.0 NA 224 432 NA NA NA NA 652 885 NA NA NA NA 2667 1652 NA NA NA NA 1073 1446 NA NA NA
1634245200.0 10005.0 NA 223 451 0 79 174 NA 576 889 0 196 351 NA 2758 1729 465 330 776 NA 1685 1978 1454 702 827
1634245200.0 10006.0 NA 224 427 0 76 141 NA 569 873 0 185 286 NA 2760 1604 443 335 712 NA 998 1662 489 562 777
1634245200.0 10007.0 NA 228 435 0 116 156 NA 638 880 0 270 308 NA 2727 1673 456 494 741 NA 1108 2111 512 728 804
1634245200.0 10008.0 NA 227 431 0 108 184 NA 602 883 0 272 357 NA 2739 1715 451 474 755 NA 2241 1758 494 699 788
1634245200.0 10009.0 NA 224 440 NA NA NA NA 562 910 NA NA NA NA 2754 1714 NA NA NA NA 3858 1785 NA NA NA
1634245200.0 1001.0 NA 241 NA NA NA NA NA 440 NA NA NA NA NA 1132 NA NA NA NA NA 4007 NA NA NA NA
1634245200.0 1001.2 NA 492 NA NA NA NA NA 870 NA NA NA NA NA 9903 NA NA NA NA NA 3930 NA NA NA NA
1634245200.0 1002.0 NA 250 NA NA NA NA NA 540 NA NA NA NA NA 1353 NA NA NA NA NA 1304 NA NA NA NA
1634245200.0 10023.0 NA 224 434 0 95 147 NA 536 890 0 187 285 NA 2745 1632 464 313 748 NA 2720 1930 541 377 826
1634245200.0 10024.0 NA 235 444 NA NA NA NA 636 888 NA NA NA NA 2887 1898 NA NA NA NA 1234 1899 NA NA NA
1634245200.0 10024.1 NA 236 464 NA NA NA NA 708 892 NA NA NA NA 2853 1966 NA NA NA NA 1391 1455 NA NA NA
1634245200.0 10024.2 NA 236 449 NA NA NA NA 627 891 NA NA NA NA 2839 1951 NA NA NA NA 1480 1456 NA NA NA
1634245200.0 10024.3 NA 236 451 NA NA NA NA 608 905 NA NA NA NA 2847 1865 NA NA NA NA 978 1454 NA NA NA
1634245200.0 10024.4 NA 236 434 NA NA NA NA 597 877 NA NA NA NA 3022 1771 NA NA NA NA 1027 1513 NA NA NA
