Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634590800.0 1.0 82 118 179 NA NA NA NA NA NA 252 236 494 NA NA NA NA NA NA 1586 403 986 NA NA NA NA NA NA 1866 1280 1751 NA NA NA NA NA NA
1634590800.0 10.0 NA 138 299 0 NA NA NA NA NA NA 280 629 0 NA NA NA NA NA NA 1878 3065 458 NA NA NA NA NA NA 1272 3243 675 NA NA NA NA NA
1634590800.0 1000.0 NA 271 137 0 56 NA NA NA NA NA 503 299 0 158 NA NA NA NA NA 2680 1112 359 364 NA NA NA NA NA 3503 1735 734 607 NA NA NA NA
1634590800.0 10001.0 NA 225 437 0 79 156 NA NA NA NA 433 899 0 187 326 NA NA NA NA 2654 1673 488 360 902 NA NA NA NA 1315 4225 1384 1015 1386 NA NA NA
1634590800.0 10002.0 NA 224 438 0 79 172 NA NA NA NA 430 940 0 194 349 NA NA NA NA 2610 1694 482 360 911 NA NA NA NA 1714 3139 1558 1118 1898 NA NA NA
1634590800.0 10003.0 NA 224 441 0 79 172 NA NA NA NA 429 882 0 197 347 NA NA NA NA 2670 1693 476 364 980 NA NA NA NA 2187 3019 956 1779 1443 NA NA NA
1634590800.0 10004.0 NA 221 438 0 79 149 NA NA NA NA 426 870 0 197 288 NA NA NA NA 2606 1662 467 360 870 NA NA NA NA 1820 2372 891 1399 2168 NA NA NA
1634590800.0 10005.0 NA 225 438 0 79 171 NA NA NA NA 423 887 0 196 345 NA NA NA NA 2621 1664 477 365 905 NA NA NA NA 2506 2798 883 1019 1526 NA NA NA
1634590800.0 10006.0 NA 223 428 0 76 140 NA NA NA NA 431 891 0 186 283 NA NA NA NA 2636 1607 472 350 851 NA NA NA NA 1696 3533 968 966 1797 NA NA NA
1634590800.0 10007.0 NA 219 433 0 106 152 NA NA NA NA 428 890 0 269 313 NA NA NA NA 2635 1676 478 511 874 NA NA NA NA 1544 4079 853 1411 2096 NA NA NA
