Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634590800.0 1.0 78 117 175 NA NA NA 249 233 499 NA NA NA 1352 366 948 NA NA NA 2283 818 1855 NA NA NA
1634590800.0 10001.0 NA 226 439 0 82 158 NA 425 918 0 195 317 NA 2614 1686 483 364 874 NA 1835 3329 1247 1549 1433
1634590800.0 10003.0 NA 220 441 0 80 172 NA 452 862 0 194 350 NA 2663 1745 478 368 944 NA 1439 3634 834 1646 1715
1634590800.0 10004.0 NA 213 432 0 80 148 NA 425 887 0 195 309 NA 2653 1697 489 357 866 NA 2031 3115 1320 1250 1829
1634590800.0 10005.0 NA 222 437 0 79 171 NA 432 878 0 195 352 NA 2668 1681 486 363 960 NA 2568 2851 1313 1373 2251
1634590800.0 10006.0 NA 224 429 0 76 140 NA 424 886 0 191 283 NA 2638 1637 482 359 874 NA 1903 3242 1242 1070 2375
1634590800.0 10024.0 NA 235 456 0 108 175 NA 447 906 0 271 351 NA 2723 1963 512 523 948 NA 2690 3678 1361 2053 2242
1634590800.0 10026.0 NA 232 460 0 81 177 NA 452 854 0 200 345 NA 2732 2114 515 375 945 NA 1889 3966 996 1065 2254
1634590800.0 10042.0 NA 229 441 0 108 171 NA 444 908 0 271 345 NA 2711 1755 496 530 895 NA 1775 3529 802 1275 2104
1634590800.0 103.0 66 111 258 NA NA NA 199 226 550 NA NA NA 722 275 1316 NA NA NA 1393 1357 2268 NA NA NA
1634590800.0 10424.0 NA 188 418 0 NA NA NA 365 770 0 NA NA NA 1038 1807 507 NA NA NA 1063 3194 959 NA NA
1634590800.0 106.0 63 0 0 NA NA NA 186 0 0 NA NA NA 594 142 1182 NA NA NA 1779 300 2379 NA NA NA
1634590800.0 107.0 87 122 270 NA NA NA 260 232 580 NA NA NA 1830 416 1462 NA NA NA 1860 1490 2618 NA NA NA
1634590800.0 108.0 82 124 274 NA NA NA 263 242 572 NA NA NA 2120 417 1541 NA NA NA 2541 1522 2251 NA NA NA
1634590800.0 10801.0 NA 215 431 0 91 152 NA 402 887 0 196 311 NA 2517 1680 479 369 885 NA 2232 3115 1071 1516 1848
1634590800.0 10803.0 NA 208 434 0 90 177 NA 431 886 0 193 348 NA 2523 1713 498 359 906 NA 1590 2566 1037 1033 1634
1634590800.0 10804.0 NA 217 426 0 77 169 NA 411 907 0 186 336 NA 2510 1684 477 365 900 NA 1404 4004 1058 1690 1859
1634590800.0 10805.0 NA 221 425 0 77 174 NA 438 869 0 185 344 NA 2502 1680 492 356 914 NA 2210 2485 1204 1142 2155
1634590800.0 10806.0 NA 212 422 0 76 144 NA 411 877 0 183 282 NA 2558 1664 484 354 883 NA 2100 3122 1071 1135 1377
1634590800.0 10807.0 NA 214 427 0 105 155 NA 428 882 0 267 304 NA 2527 1714 494 525 909 NA 1660 3205 1309 1860 1761
1634590800.0 10823.0 NA 216 424 0 79 155 NA 421 900 0 194 311 NA 2509 1653 487 370 924 NA 1839 2860 896 2018 2354
1634590800.0 10824.0 NA 228 444 0 107 179 NA 448 920 0 263 347 NA 2582 1942 506 520 937 NA 1354 4374 787 1684 1668
1634590800.0 10824.6 NA 225 448 0 107 177 NA 437 890 0 264 346 NA 2602 1917 517 536 941 NA 3023 2600 1282 1542 1747
1634590800.0 10825.0 NA 217 434 0 80 175 NA 430 895 0 193 349 NA 2527 1779 514 363 956 NA 1634 2739 1215 920 1663
1634590800.0 10826.0 NA 229 452 0 81 178 NA 432 899 0 197 350 NA 2586 2023 515 383 949 NA 1537 3451 1070 1594 1612
1634590800.0 10871.0 NA 225 442 0 81 178 NA 446 897 0 199 345 NA 2599 1953 522 370 941 NA 1830 3469 1484 1184 1348
1634590800.0 109.0 86 124 276 NA NA NA 258 235 591 NA NA NA 2565 437 1554 NA NA NA 2134 1442 3017 NA NA NA
1634590800.0 110.0 64 116 264 NA NA NA 191 233 570 NA NA NA 641 379 1375 NA NA NA 1516 2080 2846 NA NA NA
1634590800.0 11024.0 NA 441 743 0 178 NA NA 711 1323 0 341 NA NA 5781 4521 539 966 NA NA 4412 5325 1442 1696 NA
1634590800.0 11025.0 NA 409 739 0 178 NA NA 695 1278 0 347 NA NA 5708 4096 551 962 NA NA 4362 5500 1309 1788 NA
1634590800.0 111.0 87 115 271 NA NA NA 254 233 557 NA NA NA 1207 342 1399 NA NA NA 1470 1267 2683 NA NA NA
1634590800.0 112.0 85 121 267 NA NA NA 255 237 570 NA NA NA 1596 408 1427 NA NA NA 2144 1017 3037 NA NA NA
