Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634677200.0 1.0 82 117 176 NA NA NA NA NA NA 257 233 493 NA NA NA NA NA NA 1575 402 998 NA NA NA NA NA NA 3576 971 2268 NA NA NA NA NA NA
1634677200.0 10.0 NA 137 290 0 NA NA NA NA NA NA 280 620 0 NA NA NA NA NA NA 2012 3163 473 NA NA NA NA NA NA 2782 4049 803 NA NA NA NA NA
1634677200.0 1000.0 NA 274 137 0 64 NA NA NA NA NA 512 300 0 154 NA NA NA NA NA 2763 1140 368 373 NA NA NA NA NA 2855 1825 740 645 NA NA NA NA
1634677200.0 10001.0 NA 222 435 0 79 156 NA NA NA NA 433 890 0 194 308 NA NA NA NA 2738 1709 483 368 919 NA NA NA NA 1628 4302 773 1153 1676 NA NA NA
1634677200.0 10002.0 NA 223 438 0 79 171 NA NA NA NA 431 903 0 194 348 NA NA NA NA 2911 1838 529 387 1056 NA NA NA NA 1985 3268 1368 770 1969 NA NA NA
1634677200.0 10003.0 NA 225 439 0 79 174 NA NA NA NA 426 899 0 192 349 NA NA NA NA 2910 1864 519 397 987 NA NA NA NA 2197 3031 1099 1116 2116 NA NA NA
1634677200.0 10004.0 NA 216 435 0 79 148 NA NA NA NA 426 907 0 194 290 NA NA NA NA 2919 1805 522 403 1003 NA NA NA NA 1692 3713 1291 1264 2579 NA NA NA
1634677200.0 10005.0 NA 214 435 0 79 172 NA NA NA NA 426 882 0 195 351 NA NA NA NA 2877 1835 515 387 990 NA NA NA NA 2087 2642 1024 1236 2358 NA NA NA
1634677200.0 10006.0 NA 224 428 0 76 143 NA NA NA NA 447 885 0 186 288 NA NA NA NA 2911 1805 530 385 936 NA NA NA NA 2186 5103 1315 1024 1812 NA NA NA
1634677200.0 10007.0 NA 219 434 0 107 153 NA NA NA NA 433 886 0 270 313 NA NA NA NA 2871 1828 521 566 943 NA NA NA NA 2214 3748 1216 1160 1581 NA NA NA
