Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1634677200.0 10824.502 247 118 0 928 824 0 2246 375 198 939 987 285
1634677200.0 10824.506 241 102 0 913 820 0 2248 380 206 982 905 711
1634677200.0 10824.512 238 94 0 912 704 0 2232 312 142 866 821 166
1634677200.0 10824.522 242 89 0 919 665 0 2256 279 145 876 277 169
1634677200.0 10824.592 251 360 0 909 1510 0 2251 2060 449 949 2557 512
1634677200.0 10824.596 251 347 0 912 1492 0 2230 1925 445 893 2557 504
1634677200.0 10842.502 238 105 0 933 823 0 2238 361 185 888 908 695
1634677200.0 10842.506 241 98 0 914 815 0 2219 361 191 946 982 708
1634677200.0 11634.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634677200.0 11634.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634677200.0 11634.512 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634677200.0 11634.522 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634677200.0 11634.592 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634677200.0 11634.596 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634677200.0 11650.502 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634677200.0 11650.506 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1634677200.0 136.885502 129 105 0 250 814 0 502 535 140 448 621 220
1634677200.0 136.885512 128 75 0 244 708 0 506 534 151 387 558 187
1634677200.0 136.885522 129 92 0 239 681 0 500 538 140 441 651 178
1634677200.0 136.888502 135 106 0 250 803 0 505 539 137 482 679 222
1634677200.0 136.888512 135 90 0 244 701 0 513 546 150 431 498 237
1634677200.0 136.888522 125 93 0 245 682 0 517 523 145 457 495 716
