Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634072400.0 1.0 77 120 174 NA NA NA NA NA NA 251 239 484 NA NA NA NA NA NA 1463 392 992 NA NA NA NA NA NA 2726 1257 1502 NA NA NA NA NA NA
1634072400.0 10.0 NA 140 291 0 NA NA NA NA NA NA 295 621 0 NA NA NA NA NA NA 2006 3359 487 NA NA NA NA NA NA 1231 4191 767 NA NA NA NA NA
1634072400.0 1000.0 NA 272 135 0 54 NA NA NA NA NA 495 288 0 156 NA NA NA NA NA 2894 1194 384 405 NA NA NA NA NA 3199 1395 773 1138 NA NA NA NA
1634072400.0 10001.0 NA 222 440 0 80 162 NA NA NA NA 436 882 0 205 323 NA NA NA NA 2610 1686 489 378 1026 NA NA NA NA 1717 3546 1799 874 1881 NA NA NA
1634072400.0 10002.0 NA 226 432 0 79 175 NA NA NA NA 432 916 0 203 351 NA NA NA NA 2618 1709 478 361 1059 NA NA NA NA 1951 2766 977 683 1575 NA NA NA
1634072400.0 10003.0 NA 225 443 0 80 173 NA NA NA NA 446 840 0 201 353 NA NA NA NA 2573 1731 480 372 1119 NA NA NA NA 1619 3142 1225 2215 2070 NA NA NA
1634072400.0 10004.0 NA 215 439 0 80 151 NA NA NA NA 433 915 0 205 316 NA NA NA NA 2634 1681 480 362 1006 NA NA NA NA 2423 2820 1103 924 1725 NA NA NA
1634072400.0 10005.0 NA 219 436 0 79 172 NA NA NA NA 444 907 0 203 356 NA NA NA NA 2657 1673 470 358 1129 NA NA NA NA 2046 2759 921 853 2354 NA NA NA
1634072400.0 10006.0 NA 226 429 0 76 141 NA NA NA NA 438 881 0 194 298 NA NA NA NA 2829 1757 499 382 1067 NA NA NA NA 2109 2806 881 1371 2808 NA NA NA
1634072400.0 10007.0 NA 227 435 0 107 152 NA NA NA NA 447 907 0 283 312 NA NA NA NA 2641 1684 483 529 1032 NA NA NA NA 1681 3241 1288 1033 1679 NA NA NA
1634072400.0 10008.0 NA 226 435 0 108 166 NA NA NA NA 440 906 0 275 353 NA NA NA NA 2652 1705 510 530 1031 NA NA NA NA 1629 3612 1394 2671 1512 NA NA NA
1634072400.0 10009.0 NA 227 439 0 108 172 NA NA NA NA 436 890 0 279 354 NA NA NA NA 2653 1730 480 524 1129 NA NA NA NA 1438 2276 973 900 2205 NA NA NA
1634072400.0 1001.0 NA 253 116 0 0 0 0 0 0 NA 456 244 0 0 0 0 0 0 NA 2519 551 106 81 117 281 138 276 NA 2618 910 338 308 667 434 397 412
1634072400.0 1001.2 NA 503 143 0 NA NA NA NA NA NA 874 321 0 NA NA NA NA NA NA 15061 1653 129 NA NA NA NA NA NA 6993 2288 306 NA NA NA NA NA
1634072400.0 1002.0 NA 275 75 NA NA NA NA NA NA NA 595 170 NA NA NA NA NA NA NA 2941 370 NA NA NA NA NA NA NA 3661 282 NA NA NA NA NA NA
1634072400.0 10023.0 NA 225 435 0 77 144 NA NA NA NA 433 893 0 194 291 NA NA NA NA 2640 1664 480 357 979 NA NA NA NA 1954 3416 951 1378 1421 NA NA NA
1634072400.0 10024.0 NA 233 458 0 120 173 NA NA NA NA 448 923 0 282 355 NA NA NA NA 2701 1933 513 529 1136 NA NA NA NA 2000 3208 1491 2495 2053 NA NA NA
1634072400.0 10024.1 NA 235 463 0 NA NA NA NA NA NA 439 926 0 NA NA NA NA NA NA 2921 2043 516 NA NA NA NA NA NA 1497 2610 608 NA NA NA NA NA
1634072400.0 10024.2 NA 235 455 0 NA NA NA NA NA NA 452 936 0 NA NA NA NA NA NA 2907 2044 533 NA NA NA NA NA NA 1486 1949 718 NA NA NA NA NA
1634072400.0 10024.3 NA 234 460 0 NA NA NA NA NA NA 443 921 0 NA NA NA NA NA NA 2872 2087 534 NA NA NA NA NA NA 1400 2515 707 NA NA NA NA NA
1634072400.0 10024.4 NA 235 458 0 NA NA NA NA NA NA 467 905 0 NA NA NA NA NA NA 2927 2072 533 NA NA NA NA NA NA 1465 2518 681 NA NA NA NA NA
1634072400.0 10024.5 NA 235 458 0 NA NA NA NA NA NA 444 908 0 NA NA NA NA NA NA 2889 2043 514 NA NA NA NA NA NA 1371 2713 667 NA NA NA NA NA
1634072400.0 10025.0 NA 229 447 0 80 171 NA NA NA NA 439 909 0 204 353 NA NA NA NA 2856 1846 529 405 1104 NA NA NA NA 2162 2828 1147 1445 2677 NA NA NA
1634072400.0 10026.0 NA 235 461 0 83 174 NA NA NA NA 452 923 0 207 354 NA NA NA NA 2745 2106 514 405 1007 NA NA NA NA 1853 2928 1092 1619 1459 NA NA NA
1634072400.0 1003.0 NA 311 0 NA NA NA NA NA NA NA 615 0 NA NA NA NA NA NA NA 3162 324 NA NA NA NA NA NA NA 4237 421 NA NA NA NA NA NA
1634072400.0 1004.0 NA 210 89 0 0 0 0 NA NA NA 397 206 0 0 0 0 NA NA NA 954 322 80 106 265 256 NA NA NA 1842 2308 279 236 389 297 NA NA
1634072400.0 10042.0 NA 232 440 0 108 172 NA NA NA NA 456 906 0 282 347 NA NA NA NA 2628 1777 507 526 1146 NA NA NA NA 2075 3570 1716 1018 2237 NA NA NA
1634072400.0 10059.0 NA 241 456 0 81 174 NA NA NA NA 444 939 0 204 358 NA NA NA NA 2716 2483 509 384 1064 NA NA NA NA 2821 3208 1282 2321 1798 NA NA NA
1634072400.0 10071.0 NA 227 453 0 84 177 NA NA NA NA 442 905 0 205 350 NA NA NA NA 2828 2015 535 406 1116 NA NA NA NA 1455 3066 1211 1236 1661 NA NA NA
1634072400.0 101.0 94 NA NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA NA 840 NA NA NA NA NA NA NA NA 1163 NA NA NA NA NA NA NA NA
1634072400.0 1010.0 NA 26 50 0 NA NA NA NA NA NA 136 163 0 NA NA NA NA NA NA 167 229 146 NA NA NA NA NA NA 302 322 197 NA NA NA NA NA
1634072400.0 102.0 93 NA NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA NA 734 NA NA NA NA NA NA NA NA 1072 NA NA NA NA NA NA NA NA
1634072400.0 1020.0 NA 42 45 0 43 NA NA NA NA NA 192 127 0 192 NA NA NA NA NA 273 159 76 279 NA NA NA NA NA 483 487 292 549 NA NA NA NA
1634072400.0 10224.0 NA 396 663 0 175 NA NA NA NA NA 648 1243 0 355 NA NA NA NA NA 4727 3807 532 1091 NA NA NA NA NA 3187 3823 1219 1679 NA NA NA NA
1634072400.0 10225.0 NA 386 658 0 172 NA NA NA NA NA 610 1174 0 357 NA NA NA NA NA 4688 3367 514 1064 NA NA NA NA NA 3002 3518 1754 1567 NA NA NA NA
1634072400.0 103.0 68 112 258 NA NA NA NA NA NA 206 236 560 NA NA NA NA NA NA 723 269 1329 NA NA NA NA NA NA 1300 1314 2221 NA NA NA NA NA NA
1634072400.0 1030.0 NA 192 49 0 0 NA NA NA NA NA 437 158 0 0 NA NA NA NA NA 7025 291 72 66 NA NA NA NA NA 3066 588 170 97 NA NA NA NA
1634072400.0 1040.0 NA 449 27 0 NA NA NA NA NA NA 854 131 0 NA NA NA NA NA NA 12020 198 121 NA NA NA NA NA NA 5018 279 182 NA NA NA NA NA
1634072400.0 1040.1 NA 65 27 0 NA NA NA NA NA NA 184 130 0 NA NA NA NA NA NA 434 201 110 NA NA NA NA NA NA 784 428 143 NA NA NA NA NA
1634072400.0 1041.0 NA 75 41 0 NA NA NA NA NA NA 174 141 0 NA NA NA NA NA NA 309 213 79 NA NA NA NA NA NA 601 388 112 NA NA NA NA NA
1634072400.0 10424.0 NA 191 426 0 NA NA NA NA NA NA 375 813 0 NA NA NA NA NA NA 989 1783 504 NA NA NA NA NA NA 1479 2634 662 NA NA NA NA NA
1634072400.0 105.0 76 119 31 NA NA NA NA NA NA 253 234 127 NA NA NA NA NA NA 1406 387 167 NA NA NA NA NA NA 1129 623 273 NA NA NA NA NA NA
1634072400.0 106.0 64 0 0 NA NA NA NA NA NA 190 0 0 NA NA NA NA NA NA 649 151 1207 NA NA NA NA NA NA 2709 382 2423 NA NA NA NA NA NA
1634072400.0 107.0 90 123 268 NA NA NA NA NA NA 268 239 577 NA NA NA NA NA NA 1953 449 1563 NA NA NA NA NA NA 1827 2153 2365 NA NA NA NA NA NA
1634072400.0 108.0 88 130 274 NA NA NA NA NA NA 269 248 602 NA NA NA NA NA NA 2476 449 1636 NA NA NA NA NA NA 2831 1029 3587 NA NA NA NA NA NA
1634072400.0 10801.0 NA 218 431 0 81 154 NA NA NA NA 424 902 0 204 322 NA NA NA NA 2632 1794 500 400 1073 NA NA NA NA 2222 2607 1066 1943 2033 NA NA NA
1634072400.0 10802.0 NA 215 432 0 80 177 NA NA NA NA 436 913 0 204 353 NA NA NA NA 2705 1808 507 395 1138 NA NA NA NA 1982 3034 893 1446 3049 NA NA NA
1634072400.0 10803.0 NA 218 435 0 80 177 NA NA NA NA 418 878 0 203 357 NA NA NA NA 2477 1714 481 368 1047 NA NA NA NA 1378 3189 1102 1210 2414 NA NA NA
1634072400.0 10804.0 NA 216 432 0 77 172 NA NA NA NA 416 897 0 195 347 NA NA NA NA 2449 1673 470 360 1044 NA NA NA NA 1697 2990 930 1329 1862 NA NA NA
1634072400.0 10805.0 NA 217 428 0 78 176 NA NA NA NA 426 873 0 194 356 NA NA NA NA 2694 1808 502 389 1123 NA NA NA NA 1853 3838 875 1784 3057 NA NA NA
1634072400.0 10806.0 NA 207 423 0 77 148 NA NA NA NA 431 871 0 195 298 NA NA NA NA 2677 1768 505 382 1035 NA NA NA NA 1898 2107 943 928 2615 NA NA NA
