Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634677200.0 108.0 88 126 271 NA NA NA 267 245 587 NA NA NA 2120 419 1524 NA NA NA 1624 1198 2629 NA NA NA
1634677200.0 10806.0 NA 217 421 0 76 146 NA 435 905 0 194 293 NA 2497 1662 469 359 1011 NA 1739 2774 748 1456 1699
1634677200.0 115.0 87 124 273 NA NA NA 263 244 570 NA NA NA 1997 426 1489 NA NA NA 2482 1392 1967 NA NA NA
1634677200.0 118.0 89 128 282 NA NA NA 265 243 593 NA NA NA 2711 434 1570 NA NA NA 2413 800 2360 NA NA NA
1634677200.0 119.0 80 120 262 NA NA NA 250 240 581 NA NA NA 1379 391 1428 NA NA NA 2141 639 2461 NA NA NA
1634677200.0 12.0 NA 147 285 0 NA NA NA 272 619 0 NA NA NA 1780 3057 483 NA NA NA 1656 4188 946 NA NA
1634677200.0 1325.6 NA 197 NA NA NA NA NA 498 NA NA NA NA NA 3867 NA NA NA NA NA 4282 NA NA NA NA
1634677200.0 1325.61 NA 192 NA NA NA NA NA 487 NA NA NA NA NA 3406 NA NA NA NA NA 5042 NA NA NA NA
1634677200.0 1325.9 NA 200 329 0 69 NA NA 421 639 0 185 NA NA 1387 1643 418 334 NA NA 1185 2987 582 1131 NA
1634677200.0 1351.0 NA 169 320 0 NA NA NA 394 667 0 NA NA NA 1294 1522 408 NA NA NA 1944 3047 843 NA NA
1634677200.0 23461.97 943 NA NA NA NA NA 1483 NA NA NA NA NA 9394 NA NA NA NA NA 6472 NA NA NA NA NA
1634677200.0 4.28 NA 65 278 0 NA NA NA 175 585 0 NA NA NA 307 3144 1614 NA NA NA 825 4420 2200 NA NA
1634677200.0 4.58 NA 59 360 0 NA NA NA 160 777 0 NA NA NA 308 4562 350 NA NA NA 904 4007 538 NA NA
1634677200.0 4000.0 NA 139 302 NA NA NA NA 282 636 NA NA NA NA 2103 4040 NA NA NA NA 1745 3841 NA NA NA
1634677200.0 4008.0 74 131 278 NA NA NA 214 260 612 NA NA NA 853 333 1413 NA NA NA 1589 1922 2740 NA NA NA
1634677200.0 500200.1 91 210 222 NA NA NA 244 383 523 NA NA NA 1999 777 1756 NA NA NA 1664 1216 2121 NA NA NA
1634677200.0 7.1 62 96 123 54 0 NA 188 227 282 168 0 NA 916 242 472 281 237 NA 1377 926 1490 1116 396 NA
