Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1634590800.0 10071.0 NA 254 431 0 113 239 NA 1502 1598 0 1011 1216 NA 5929 6107 1511 621 1238 NA 1700 4265 1546 385 1164
1634590800.0 101.0 103 NA NA NA NA NA 1023 NA NA NA NA NA 2679 NA NA NA NA NA 2763 NA NA NA NA NA
1634590800.0 102.0 106 NA NA NA NA NA 1023 NA NA NA NA NA 1895 NA NA NA NA NA 1929 NA NA NA NA NA
1634590800.0 1020.0 NA 70 57 0 63 NA NA 1006 925 0 1008 NA NA 842 230 128 911 NA NA 616 253 166 607 NA
1634590800.0 10224.0 NA 418 638 0 243 NA NA 1622 1877 0 1231 NA NA 12425 12017 1541 1119 NA NA 3685 5749 1566 992 NA
1634590800.0 11634.0 NA 343 528 0 118 NA NA 1601 1660 0 1017 NA NA 6174 10400 4158 1533 NA NA 3534 6812 4220 1081 NA
1634590800.0 11634.24 NA 265 484 0 108 NA NA 1465 1632 0 1010 NA NA 2152 5629 2524 587 NA NA 1697 4169 2560 501 NA
1634590800.0 11634.5 NA 329 130 0 NA NA NA 1611 1111 0 NA NA NA 6724 3892 406 NA NA NA 3915 2702 476 NA NA
1634590800.0 11634.7 NA 337 523 0 NA NA NA 1624 1675 0 NA NA NA 3395 7918 2779 NA NA NA 1952 4973 2810 NA NA
1634590800.0 11640.0 NA 318 511 0 109 NA NA 1519 1611 0 1017 NA NA 5337 10487 3703 1256 NA NA 3177 7724 3748 1031 NA
1634590800.0 11650.0 NA 333 517 0 121 NA NA 1576 1643 0 1020 NA NA 5575 10676 2829 1544 NA NA 3313 7589 2881 1056 NA
1634590800.0 11650.501 NA 332 151 0 NA NA NA 1568 1106 0 NA NA NA 4502 3109 383 NA NA NA 2748 2361 421 NA NA
1634590800.0 11650.502 NA 332 190 0 NA NA NA 1544 4627 0 NA NA NA 4465 3040 393 NA NA NA 2690 2362 423 NA NA
1634590800.0 12024.0 NA 342 526 0 NA NA NA 1560 1683 0 NA NA NA 4880 7255 2124 NA NA NA 2867 4898 2162 NA NA
1634590800.0 1325.5 NA 207 0 NA NA NA NA 1182 0 NA NA NA NA 6918 403 NA NA NA NA 4263 459 NA NA NA
1634590800.0 1325.51 NA 188 0 NA NA NA NA 1165 0 NA NA NA NA 5581 395 NA NA NA NA 3556 430 NA NA NA
1634590800.0 1325.517 NA 187 0 NA NA NA NA 1155 0 NA NA NA NA 6266 463 NA NA NA NA 3824 517 NA NA NA
1634590800.0 135.2 499 0 167 NA NA NA 1865 0 1091 NA NA NA 4516 837 2411 NA NA NA 2499 869 1663 NA NA NA
