Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1633816800.0 1.0 86 110 242 NA NA NA NA NA NA 1051 1026 1449 NA NA NA NA NA NA 4131 1050 3407 NA NA NA NA NA NA 2207 447 2300 NA NA NA NA NA NA
1633816800.0 10.0 NA 142 340 0 NA NA NA NA NA NA 1096 1576 0 NA NA NA NA NA NA 8071 10958 1977 NA NA NA NA NA NA 2354 5963 2052 NA NA NA NA NA
1633816800.0 1000.0 NA 332 177 0 93 NA NA NA NA NA 1493 1160 0 1000 NA NA NA NA NA 9095 4489 831 968 NA NA NA NA NA 4142 2416 903 749 NA NA NA NA
1633816800.0 10001.0 NA 223 433 0 98 219 NA NA NA NA 1260 1738 0 1035 1195 NA NA NA NA 6727 6445 2125 854 1480 NA NA NA NA 1950 4692 2180 712 1368 NA NA NA
1633816800.0 10002.0 NA 223 436 0 99 248 NA NA NA NA 1257 1740 0 1035 1246 NA NA NA NA 6160 6864 1689 834 1651 NA NA NA NA 1927 5014 1732 708 1633 NA NA NA
1633816800.0 10003.0 NA 226 429 0 98 244 NA NA NA NA 1238 1719 0 1031 1251 NA NA NA NA 6634 6813 2020 867 1464 NA NA NA NA 1955 4678 2071 724 1517 NA NA NA
1633816800.0 10004.0 NA 221 429 0 101 218 NA NA NA NA 1273 1698 0 1031 1191 NA NA NA NA 6114 7357 1801 860 2011 NA NA NA NA 1807 5254 1885 747 1934 NA NA NA
1633816800.0 10005.0 NA 219 430 0 98 238 NA NA NA NA 1244 1708 0 1031 1231 NA NA NA NA 7307 7275 2291 848 1783 NA NA NA NA 2207 5696 2338 716 1665 NA NA NA
1633816800.0 10006.0 NA 222 414 0 95 211 NA NA NA NA 1263 1722 0 1028 1173 NA NA NA NA 7507 7256 2289 876 1677 NA NA NA NA 2184 5177 2341 729 1669 NA NA NA
1633816800.0 10007.0 NA 250 429 0 114 216 NA NA NA NA 1305 1698 0 1039 1200 NA NA NA NA 7390 6976 1953 747 2080 NA NA NA NA 2147 5110 1993 639 1909 NA NA NA
1633816800.0 10008.0 NA 250 425 0 100 239 NA NA NA NA 1265 1711 0 1039 1235 NA NA NA NA 6248 7395 1999 809 1795 NA NA NA NA 1875 5258 2036 682 1628 NA NA NA
1633816800.0 10009.0 NA 240 427 0 99 239 NA NA NA NA 1248 1728 0 1035 1234 NA NA NA NA 6277 6453 2250 782 1677 NA NA NA NA 1838 4491 2304 686 1538 NA NA NA
1633816800.0 1001.0 NA 292 137 0 0 0 0 0 0 NA 1432 1076 0 0 0 0 0 0 NA 11047 1597 147 109 238 502 164 460 NA 5555 1347 172 132 263 524 189 481
1633816800.0 1001.2 NA 459 159 0 NA NA NA NA NA NA 1767 1159 0 NA NA NA NA NA NA 33071 4743 169 NA NA NA NA NA NA 10018 2181 198 NA NA NA NA NA
1633816800.0 1002.0 NA 320 89 NA NA NA NA NA NA NA 1591 1006 NA NA NA NA NA NA NA 11452 892 NA NA NA NA NA NA NA 6620 429 NA NA NA NA NA NA
1633816800.0 10023.0 NA 221 420 0 98 210 NA NA NA NA 1263 1714 0 1028 1191 NA NA NA NA 7148 7364 2069 847 1775 NA NA NA NA 2061 5038 2131 730 1638 NA NA NA
1633816800.0 10024.0 NA 260 430 0 103 247 NA NA NA NA 1264 1739 0 1042 1229 NA NA NA NA 6772 7132 2321 913 1864 NA NA NA NA 1978 4793 2368 715 1637 NA NA NA
1633816800.0 10024.1 NA 249 430 0 NA NA NA NA NA NA 1293 1728 0 NA NA NA NA NA NA 7734 7565 2697 NA NA NA NA NA NA 2221 5011 2804 NA NA NA NA NA
1633816800.0 10024.2 NA 259 444 0 NA NA NA NA NA NA 1281 1726 0 NA NA NA NA NA NA 8069 6820 2238 NA NA NA NA NA NA 2324 4672 2280 NA NA NA NA NA
1633816800.0 10024.3 NA 261 438 0 NA NA NA NA NA NA 1292 1751 0 NA NA NA NA NA NA 7239 8281 2111 NA NA NA NA NA NA 2075 5639 2161 NA NA NA NA NA
1633816800.0 10024.4 NA 240 437 0 NA NA NA NA NA NA 1264 1747 0 NA NA NA NA NA NA 7375 8268 2617 NA NA NA NA NA NA 2140 5338 2727 NA NA NA NA NA
1633816800.0 10024.5 NA 254 441 0 NA NA NA NA NA NA 1285 1738 0 NA NA NA NA NA NA 7517 7979 2242 NA NA NA NA NA NA 2182 5097 2290 NA NA NA NA NA
1633816800.0 10025.0 NA 230 436 0 99 246 NA NA NA NA 1278 1740 0 1038 1235 NA NA NA NA 7833 8054 2401 851 1758 NA NA NA NA 2252 5404 2447 718 1620 NA NA NA
1633816800.0 10026.0 NA 255 441 0 101 248 NA NA NA NA 1283 1726 0 1035 1234 NA NA NA NA 7851 8662 2614 992 1857 NA NA NA NA 2308 5675 2669 821 1635 NA NA NA
1633816800.0 1003.0 NA 348 0 NA NA NA NA NA NA NA 1594 0 NA NA NA NA NA NA NA 14567 1371 NA NA NA NA NA NA NA 6370 1519 NA NA NA NA NA NA
1633816800.0 1004.0 NA 255 111 0 0 0 0 NA NA NA 1280 1034 0 0 0 0 NA NA NA 4390 978 131 355 810 830 NA NA NA 2695 760 153 535 845 865 NA NA
1633816800.0 10042.0 NA 252 433 0 100 245 NA NA NA NA 1247 1696 0 1042 1234 NA NA NA NA 6862 8387 2404 1015 2112 NA NA NA NA 2031 5725 2458 855 1925 NA NA NA
1633816800.0 10059.0 NA 262 446 0 98 244 NA NA NA NA 1299 1715 0 1039 1234 NA NA NA NA 7137 9200 2144 928 2147 NA NA NA NA 2106 5883 2192 759 1932 NA NA NA
1633816800.0 10071.0 NA 231 440 0 99 240 NA NA NA NA 1275 1740 0 1038 1234 NA NA NA NA 6861 7696 1943 876 2159 NA NA NA NA 1988 5052 2005 729 2001 NA NA NA
1633816800.0 101.0 132 NA NA NA NA NA NA NA NA 1053 NA NA NA NA NA NA NA NA 1698 NA NA NA NA NA NA NA NA 1743 NA NA NA NA NA NA NA NA
1633816800.0 1010.0 NA 67 64 0 NA NA NA NA NA NA 979 990 0 NA NA NA NA NA NA 209 654 271 NA NA NA NA NA NA 252 518 292 NA NA NA NA NA
1633816800.0 102.0 118 NA NA NA NA NA NA NA NA 1053 NA NA NA NA NA NA NA NA 1423 NA NA NA NA NA NA NA NA 1499 NA NA NA NA NA NA NA NA
1633816800.0 1020.0 NA 79 62 0 66 NA NA NA NA NA 1038 953 0 1040 NA NA NA NA NA 641 173 81 697 NA NA NA NA NA 454 197 104 460 NA NA NA NA
1633816800.0 10224.0 NA 408 657 0 248 NA NA NA NA NA 1498 1971 0 1235 NA NA NA NA NA 13062 12708 2167 2218 NA NA NA NA NA 4134 6615 2265 1969 NA NA NA NA
