Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1634677200.0 101.0 122 NA NA NA NA 3510 NA NA NA NA 1958 NA NA NA NA 2012 NA NA NA NA
1634677200.0 102.0 97 NA NA NA NA 3510 NA NA NA NA 1794 NA NA NA NA 2102 NA NA NA NA
1634677200.0 1020.0 NA 57 60 0 64 NA 3495 3412 0 3493 NA 569 222 134 667 NA 1519 258 160 736
1634677200.0 123.1 405 NA NA NA NA 3965 NA NA NA NA 2851 NA NA NA NA 2106 NA NA NA NA
1634677200.0 123.2 404 NA NA NA NA 3965 NA NA NA NA 3136 NA NA NA NA 2140 NA NA NA NA
1634677200.0 123.3 316 NA NA NA NA 3899 NA NA NA NA 2557 NA NA NA NA 2144 NA NA NA NA
1634677200.0 124.1 384 NA NA NA NA 3944 NA NA NA NA 2542 NA NA NA NA 2116 NA NA NA NA
1634677200.0 124.2 399 NA NA NA NA 3977 NA NA NA NA 2825 NA NA NA NA 2208 NA NA NA NA
1634677200.0 124.4 399 NA NA NA NA 3947 NA NA NA NA 2497 NA NA NA NA 2111 NA NA NA NA
1634677200.0 124.5 386 NA NA NA NA 3954 NA NA NA NA 2656 NA NA NA NA 2486 NA NA NA NA
1634677200.0 124.6 338 NA NA NA NA 3894 NA NA NA NA 2531 NA NA NA NA 2125 NA NA NA NA
1634677200.0 135.13 582 0 NA NA NA 4210 0 NA NA NA 3584 876 NA NA NA 2463 910 NA NA NA
1634677200.0 136.76111 NA 201 0 NA NA NA 3730 0 NA NA NA 4701 429 NA NA NA 2762 470 NA NA
1634677200.0 136.7801 NA 146 0 NA NA NA 3557 0 NA NA NA 1182 651 NA NA NA 1123 708 NA NA
1634677200.0 136.7803 NA 116 0 NA NA NA 3538 0 NA NA NA 1481 530 NA NA NA 1628 565 NA NA
1634677200.0 2017.13 1036 0 NA NA NA 4667 0 NA NA NA 3769 1343 NA NA NA 2639 1402 NA NA NA
1634677200.0 2017.8 722 NA NA NA NA 4325 NA NA NA NA 2380 NA NA NA NA 1310 NA NA NA NA
1634677200.0 4.22 NA 187 85 81 0 NA 3639 3473 3470 0 NA 2725 535 517 605 NA 1790 560 456 659
1634677200.0 5.1 398 0 NA NA NA 3976 0 NA NA NA 3756 766 NA NA NA 2657 818 NA NA NA
1634677200.0 5.2 335 0 NA NA NA 3896 0 NA NA NA 2784 729 NA NA NA 2319 773 NA NA NA
1634677200.0 5.3 322 0 NA NA NA 3896 0 NA NA NA 2810 675 NA NA NA 2282 725 NA NA NA
1634677200.0 5.4 396 0 NA NA NA 3980 0 NA NA NA 3136 721 NA NA NA 2521 769 NA NA NA
1634677200.0 5.5 395 0 NA NA NA 3976 0 NA NA NA 2389 734 NA NA NA 1861 774 NA NA NA
1634677200.0 5.6 402 0 NA NA NA 3988 0 NA NA NA 3201 691 NA NA NA 2402 732 NA NA NA
1634677200.0 5.7 396 0 NA NA NA 3966 0 NA NA NA 2669 737 NA NA NA 2049 783 NA NA NA
1634677200.0 506.0 55 0 NA NA NA 3401 0 NA NA NA 605 398 NA NA NA 506 484 NA NA NA
1634677200.0 509.0 49 0 NA NA NA 3397 0 NA NA NA 536 344 NA NA NA 467 399 NA NA NA
1634677200.0 546.0 54 72 NA NA NA 3404 3459 NA NA NA 608 685 NA NA NA 488 736 NA NA NA
1634677200.0 570.0 55 0 NA NA NA 3395 0 NA NA NA 747 419 NA NA NA 607 461 NA NA NA
1634677200.0 576.0 58 0 NA NA NA 3392 0 NA NA NA 555 401 NA NA NA 567 444 NA NA NA
