Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1634504400.0 101.0 123 NA NA NA 3519 NA NA NA 1675 NA NA NA 1719 NA NA NA
1634504400.0 102.0 125 NA NA NA 3519 NA NA NA 1530 NA NA NA 1601 NA NA NA
1634504400.0 106.0 81 0 0 NA 3494 0 0 NA 1146 338 4070 NA 1005 353 4000 NA
1634504400.0 123.1 402 NA NA NA 3872 NA NA NA 1868 NA NA NA 1537 NA NA NA
1634504400.0 123.2 405 NA NA NA 3884 NA NA NA 2448 NA NA NA 1540 NA NA NA
1634504400.0 123.3 325 NA NA NA 3765 NA NA NA 1638 NA NA NA 1204 NA NA NA
1634504400.0 124.1 384 NA NA NA 3832 NA NA NA 1541 NA NA NA 1216 NA NA NA
1634504400.0 124.2 397 NA NA NA 3872 NA NA NA 1813 NA NA NA 1383 NA NA NA
1634504400.0 124.4 389 NA NA NA 3830 NA NA NA 1435 NA NA NA 1105 NA NA NA
1634504400.0 124.5 394 NA NA NA 3849 NA NA NA 1532 NA NA NA 1166 NA NA NA
1634504400.0 124.6 335 NA NA NA 3770 NA NA NA 1376 NA NA NA 1069 NA NA NA
1634504400.0 131.0 82 157 313 NA 3510 3533 3902 NA 2209 823 4572 NA 1540 542 4267 NA
1634504400.0 135.13 587 0 NA NA 4154 0 NA NA 1945 523 NA NA 1224 554 NA NA
1634504400.0 135.2 514 0 150 NA 4071 0 3658 NA 1846 439 950 NA 1588 469 1143 NA
1634504400.0 135.7 576 0 151 NA 4067 0 3670 NA 1694 529 1067 NA 1173 718 980 NA
1634504400.0 136.72411 NA 214 0 NA NA 3755 0 NA NA 3253 268 NA NA 2333 301 NA
1634504400.0 140.56 NA 796 0 NA NA 4640 0 NA NA 78867 632 NA NA 35993 666 NA
1634504400.0 144.6 NA 314 NA NA NA 3906 NA NA NA 8218 NA NA NA 5741 NA NA
1634504400.0 148.0 101 237 481 0 3529 3662 4223 0 11381 1682 4534 802 11675 1886 3424 837
1634504400.0 250207.17 NA NA 586 0 NA NA 4301 0 NA NA 4356 1021 NA NA 2858 1055
1634504400.0 4007.0 81 NA 0 NA 3494 NA 0 NA 1195 NA 3979 NA 1040 NA 4009 NA
1634504400.0 5.1 417 0 NA NA 3883 0 NA NA 2174 453 NA NA 1417 477 NA NA
1634504400.0 5.5 400 0 NA NA 3872 0 NA NA 1662 356 NA NA 1157 381 NA NA
1634504400.0 5.6 407 0 NA NA 3887 0 NA NA 1707 459 NA NA 1177 486 NA NA
1634504400.0 5.7 405 0 NA NA 3884 0 NA NA 1820 455 NA NA 1569 484 NA NA
