Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1634590800.0 1003.0 NA 347 0 NA NA NA NA NA 3947 0 NA NA NA NA NA 7687 864 NA NA NA NA NA 3666 928 NA NA NA NA
1634590800.0 1004.0 NA 249 116 0 0 0 0 NA 3716 3502 0 0 0 0 NA 2580 714 146 241 577 757 NA 2055 693 177 265 602 787
1634590800.0 101.0 130 NA NA NA NA NA NA 3519 NA NA NA NA NA NA 2231 NA NA NA NA NA NA 2310 NA NA NA NA NA NA
1634590800.0 1010.0 NA 66 83 0 NA NA NA NA 3438 3449 0 NA NA NA NA 288 556 346 NA NA NA NA 345 586 394 NA NA NA
1634590800.0 102.0 104 NA NA NA NA NA NA 3519 NA NA NA NA NA NA 1821 NA NA NA NA NA NA 1886 NA NA NA NA NA NA
1634590800.0 1020.0 NA 62 55 0 64 NA NA NA 3496 3413 0 3494 NA NA NA 557 267 145 734 NA NA NA 624 314 171 813 NA NA
1634590800.0 103.0 81 120 313 NA NA NA NA 3509 3522 3878 NA NA NA NA 1812 708 3845 NA NA NA NA 1583 656 3586 NA NA NA NA
1634590800.0 1040.1 NA 78 65 0 NA NA NA NA 3495 3417 0 NA NA NA NA 834 365 227 NA NA NA NA 1014 420 251 NA NA NA
1634590800.0 1041.0 NA 108 46 0 NA NA NA NA 3493 3428 0 NA NA NA NA 541 464 186 NA NA NA NA 682 506 212 NA NA NA
1634590800.0 105.0 109 147 59 NA NA NA NA 3563 3538 3421 NA NA NA NA 4176 1264 317 NA NA NA NA 2365 947 353 NA NA NA NA
1634590800.0 106.0 72 0 0 NA NA NA NA 3494 0 0 NA NA NA NA 1477 290 3690 NA NA NA NA 1262 307 3592 NA NA NA NA
1634590800.0 10824.505 NA 254 171 0 NA NA NA NA 3725 7203 0 NA NA NA NA 6190 1286 774 NA NA NA NA 2039 1244 832 NA NA NA
1634590800.0 10824.521 NA 254 87 0 NA NA NA NA 3719 3480 0 NA NA NA NA 5947 1049 445 NA NA NA NA 1930 988 492 NA NA NA
1634590800.0 10842.501 NA 253 169 0 NA NA NA NA 3758 7200 0 NA NA NA NA 6184 1352 639 NA NA NA NA 2072 1389 682 NA NA NA
1634590800.0 11634.1 NA 346 256 0 NA NA NA NA 3811 3708 0 NA NA NA NA 3411 2805 1473 NA NA NA NA 2115 2326 1540 NA NA NA
1634590800.0 11634.5 NA 353 133 0 NA NA NA NA 3821 3604 0 NA NA NA NA 3605 1661 520 NA NA NA NA 2235 1622 564 NA NA NA
1634590800.0 11634.501 NA 341 196 0 NA NA NA NA 3841 7241 0 NA NA NA NA 3614 1929 702 NA NA NA NA 2359 1946 751 NA NA NA
1634590800.0 11634.505 NA 352 197 0 NA NA NA NA 3824 7242 0 NA NA NA NA 3921 2227 635 NA NA NA NA 2901 2130 660 NA NA NA
1634590800.0 11634.511 NA 341 123 0 NA NA NA NA 3832 3541 0 NA NA NA NA 3702 1607 412 NA NA NA NA 2298 1537 456 NA NA NA
1634590800.0 11634.521 NA 347 118 0 NA NA NA NA 3811 3514 0 NA NA NA NA 3572 1585 429 NA NA NA NA 2247 1675 468 NA NA NA
1634590800.0 11634.911 108 344 585 0 134 NA NA 3522 3827 4284 0 3544 NA NA 10288 5903 8855 3902 2927 NA NA 4447 3577 6096 3961 2042 NA NA
1634590800.0 11634.912 106 359 586 0 136 NA NA 3521 3811 4240 0 3551 NA NA 9430 3314 7163 2287 1109 NA NA 4137 2107 5622 2334 1040 NA NA
1634590800.0 11650.501 NA 332 194 0 NA NA NA NA 3822 7230 0 NA NA NA NA 3559 1773 517 NA NA NA NA 2258 1754 552 NA NA NA
1634590800.0 11650.505 NA 337 195 0 NA NA NA NA 3817 7219 0 NA NA NA NA 3365 1918 576 NA NA NA NA 2115 1887 609 NA NA NA
1634590800.0 11834.0 NA NA NA 0 262 NA NA NA NA NA 0 3732 NA NA NA NA NA 2067 2196 NA NA NA NA NA 2116 2135 NA NA
1634590800.0 11834.13 NA NA NA 0 264 NA NA NA NA NA 0 3720 NA NA NA NA NA 2347 2232 NA NA NA NA NA 2390 2169 NA NA
1634590800.0 11834.24 NA 631 922 0 261 NA NA NA 4344 4833 0 3731 NA NA NA 18887 14578 2390 2042 NA NA NA 7268 7796 2432 2010 NA NA
1634590800.0 11834.99 NA NA 718 769 0 262 NA NA NA 4398 4506 0 3720 NA NA NA 8690 19922 2168 2377 NA NA NA 3941 8373 2236 2301 NA
1634590800.0 11846.0 NA NA NA 0 274 NA NA NA NA NA 0 3720 NA NA NA NA NA 2201 2213 NA NA NA NA NA 2246 2165 NA NA
1634590800.0 11925.0 NA NA NA 0 262 NA NA NA NA NA 0 3726 NA NA NA NA NA 2299 2468 NA NA NA NA NA 2348 2420 NA NA
1634590800.0 122.0 85 138 297 NA NA NA NA 3510 3530 3873 NA NA NA NA 1826 572 3782 NA NA NA NA 1586 528 3793 NA NA NA NA
1634590800.0 123.1 421 NA NA NA NA NA NA 3871 NA NA NA NA NA NA 2457 NA NA NA NA NA NA 1679 NA NA NA NA NA NA
1634590800.0 123.2 394 NA NA NA NA NA NA 3881 NA NA NA NA NA NA 2559 NA NA NA NA NA NA 1567 NA NA NA NA NA NA
